Date,Open,High,Low,Close,Adj Close,Volume
1998-01-02,36.75,36.9375,36.1875,36.6875,9.353702,130000
1998-01-05,36.5,36.625,35.875,36.375,9.274026,149400
1998-01-06,36.125,36.5625,36.0,36.5625,9.32183,126300
1998-01-07,36.375,36.625,36.125,36.5625,9.32183,229800
1998-01-08,36.5625,36.6875,36.375,36.5,9.305895,290300
1998-01-09,36.5,36.5625,36.125,36.4375,9.289961,226000
1998-01-12,36.375,36.625,36.0,36.625,9.337764,299500
1998-01-13,36.625,36.875,36.5,36.625,9.337764,175600
1998-01-14,36.8125,37.25,36.625,37.125,9.465244,100000
1998-01-15,37.125,37.375,37.125,37.375,9.528986999999999,229500
1998-01-16,37.4375,37.5625,37.3125,37.4375,9.544916,88200
1998-01-20,37.5,37.5625,37.1875,37.4375,9.544916,166000
1998-01-21,37.4375,37.625,37.25,37.375,9.528986999999999,144200
1998-01-22,37.375,37.75,37.3125,37.75,9.624591,119400
1998-01-23,37.875,38.125,37.0,37.25,9.497110000000001,146700
1998-01-26,37.1875,37.75,37.0,37.75,9.624591,125000
1998-01-27,37.75,37.875,37.4375,37.4375,9.544916,66500
1998-01-28,37.625,37.75,37.375,37.5,9.56085,176200
1998-01-29,37.5,37.875,37.375,37.4375,9.544916,47400
1998-01-30,37.375,37.375,36.75,37.125,9.465244,92200
1998-02-02,37.25,37.5,37.125,37.3125,9.513045,83900
1998-02-03,37.25,37.75,37.25,37.5625,9.576787,214000
1998-02-04,37.25,37.75,37.125,37.75,9.770776,78500
1998-02-05,37.875,38.0,37.25,37.5625,9.72225,124100
1998-02-06,37.75,37.8125,37.0625,37.8125,9.786957000000001,99100
1998-02-09,37.875,38.0,37.5,37.625,9.738425999999999,231300
1998-02-10,37.5,37.6875,37.5,37.625,9.738425999999999,112900
1998-02-11,37.625,37.625,36.5,36.75,9.511952,293200
1998-02-12,36.5625,36.75,36.4375,36.5625,9.463417999999999,97200
1998-02-13,36.5625,36.5625,35.9375,36.25,9.382533,57800
1998-02-17,36.5,36.625,36.375,36.5625,9.463417999999999,83900
1998-02-18,36.625,36.8125,36.25,36.625,9.479599,208900
1998-02-19,36.5,36.8125,36.125,36.25,9.382533,41100
1998-02-20,36.0,36.25,35.625,36.1875,9.366358,51700
1998-02-23,36.0625,36.4375,36.0625,36.3125,9.398712,42800
1998-02-24,36.75,37.0,36.125,36.125,9.350184,85200
1998-02-25,36.5,36.625,36.0,36.125,9.350184,74200
1998-02-26,36.0625,36.3125,35.75,36.0625,9.334004,55900
1998-02-27,36.1875,36.4375,36.0,36.4375,9.431067,44900
1998-03-02,36.5,36.75,36.375,36.625,9.479599,36600
1998-03-03,36.375,37.0,36.375,36.625,9.479599,91900
1998-03-04,36.6875,36.875,36.6875,36.8125,9.528125,51500
1998-03-05,36.75,36.8125,36.375,36.5,9.447242999999999,45900
1998-03-06,36.625,36.9375,36.1875,36.375,9.41489,45300
1998-03-09,36.25,36.5,35.375,35.375,9.15606,111800
1998-03-10,35.375,35.375,34.25,34.9375,9.042825,166000
1998-03-11,35.0,35.125,34.75,35.0,9.059,66500
1998-03-12,35.125,35.25,34.75,34.8125,9.010471,61600
1998-03-13,34.875,34.875,34.4375,34.5625,8.945762,79100
1998-03-16,34.5,34.9375,34.5,34.5625,8.945762,42600
1998-03-17,34.5625,36.5,34.5625,36.4375,9.431067,516100
1998-03-18,36.0,36.25,35.75,36.0,9.31783,589700
1998-03-19,35.625,36.0,35.625,35.875,9.285474,155300
1998-03-20,35.875,36.5,35.875,36.375,9.41489,391500
1998-03-23,36.25,36.6875,36.25,36.625,9.479599,72600
1998-03-24,38.0,38.0,37.1875,37.1875,9.625186,202500
1998-03-25,37.3125,37.5,37.0,37.4375,9.689899,136100
1998-03-26,37.5,38.0,37.375,38.0,9.835484,77400
