Date,Open,High,Low,Close,Adj Close,Volume
1999-10-01,14.0,14.25,14.0,14.125,10.325689,3162400
1999-10-04,14.125,14.125,14.0,14.0,10.23431,533400
1999-10-05,14.0,14.125,14.0,14.125,10.325689,270600
1999-10-06,14.125,14.875,14.125,14.875,10.873953,205400
1999-10-07,14.875,14.875,14.0625,14.125,10.325689,214200
1999-10-08,14.1875,14.1875,14.0625,14.0625,10.28,65600
1999-10-11,14.0625,14.125,14.0,14.0625,10.28,77500
1999-10-12,14.0625,14.125,14.0,14.125,10.325689,49200
1999-10-13,14.125,14.375,14.0,14.0625,10.28,49900
1999-10-14,14.0,14.0625,13.25,13.625,9.960179,430900
1999-10-15,13.125,13.1875,12.6875,13.0625,9.548977,158200
1999-10-18,13.0,13.0,12.5,12.8125,9.366225,83800
1999-10-19,12.75,13.25,12.75,13.25,9.686043,58200
1999-10-20,13.375,13.5,13.125,13.125,9.594666,62600
1999-10-21,13.125,13.4375,13.0,13.4375,9.823109,98200
1999-10-22,13.375,13.5625,13.3125,13.5,9.868799000000001,191200
1999-10-25,13.4375,13.9375,13.4375,13.9375,10.188621000000001,153100
1999-10-26,13.8125,14.125,13.8125,14.0,10.23431,65600
1999-10-27,14.0,14.1875,14.0,14.0625,10.28,100900
1999-10-28,14.1875,14.5,14.125,14.125,10.325689,255300
1999-10-29,14.125,15.25,14.125,15.25,11.148087,123200
1999-11-01,15.0,15.0,14.625,14.75,10.782581,41800
1999-11-02,14.75,14.875,14.3125,14.75,10.782581,66600
1999-11-03,14.6875,14.875,14.6875,14.75,10.782581,18500
1999-11-04,14.875,15.125,14.5,14.9375,10.919644,72100
1999-11-05,15.0,15.875,14.875,15.75,11.513601,122900
1999-11-08,15.875,17.375,15.8125,16.625,12.153246000000001,240000
1999-11-09,16.75,16.75,16.125,16.125,11.787733,42400
1999-11-10,16.0,16.125,15.8125,16.0625,11.742045,59900
1999-11-11,16.0625,16.25,16.0625,16.125,11.787733,20000
1999-11-12,16.25,18.5,16.25,18.0,13.1584,248500
1999-11-15,18.1875,18.1875,17.5,17.6875,12.929953999999999,99200
1999-11-16,17.6875,17.6875,17.375,17.4375,12.747202,95300
1999-11-17,17.6875,18.25,17.25,17.5,12.79289,107900
1999-11-18,17.5,17.5,17.25,17.25,12.610139,67500
1999-11-19,17.25,17.75,17.1875,17.625,12.884267,31200
