Date,Open,High,Low,Close,Adj Close,Volume
1998-01-02,52.75,54.75,52.5625,54.5625,41.352985,702800
1998-01-05,55.75,56.125,51.875,52.9375,40.121399,2109400
1998-01-06,53.1875,56.5,53.1875,54.5,41.305611,2939100
1998-01-07,53.625,54.125,52.375,53.625,40.642456,1865000
1998-01-08,53.3125,54.5,52.5,52.75,39.979282,1506200
1998-01-09,53.4375,53.4375,49.5,49.625,37.610844,1977400
1998-01-12,48.5,52.0,48.5,50.0,37.895069,2561200
1998-01-13,50.0,51.875,49.25,50.625,38.368752,2762100
1998-01-14,50.625,51.75,49.9375,51.5,39.031906,1787600
1998-01-15,51.3125,51.3125,49.875,49.9375,37.847679,1811900
1998-01-16,50.0,50.5625,49.8125,49.9375,37.847679,2596600
1998-01-20,50.0,52.75,49.8125,52.0,39.410862,2076400
1998-01-21,46.5,47.6875,44.625,47.25,35.810825,12319900
1998-01-22,47.375,49.625,47.0625,49.5,37.516109,4711700
1998-01-23,49.25,49.5,48.0,48.3125,36.616096,1802900
1998-01-26,48.5625,49.125,47.625,48.0,36.379238,1418100
1998-01-27,47.875,49.3125,47.8125,49.25,37.326626,982800
1998-01-28,49.1875,53.1875,49.1875,52.25,39.60033,3963800
1998-01-29,52.5,54.5,51.75,54.125,41.021404,2592100
1998-01-30,54.125,54.5,52.75,53.1875,40.310856,1782100
1998-02-02,54.0,54.6875,53.5625,53.625,40.642456,1920400
1998-02-03,55.125,56.0,54.8125,55.4375,42.016135999999996,3899000
1998-02-04,55.4375,56.375,54.375,56.1875,42.584576,2143000
1998-02-05,56.875,57.6875,56.625,56.8125,43.058265999999996,2648800
1998-02-06,56.8125,56.875,55.1875,56.4375,42.774055,1197800
1998-02-09,56.6875,57.75,56.25,57.125,43.295094,1077700
1998-02-10,57.25,58.625,57.0,58.0625,44.005638,1368200
1998-02-11,54.75,57.0,50.0,50.75,38.463467,18756300
1998-02-12,50.25,51.25,49.25,49.5,37.516109,10022300
1998-02-13,49.625,50.25,47.75,48.375,36.663452,8535200
