Date,Open,High,Low,Close,Adj Close,Volume
1998-08-18,12.875,13.125,12.875,13.0,11.253033,5783000
1998-08-19,13.0,13.25,13.0,13.0,11.253033,388700
1998-08-20,13.125,13.25,13.0,13.0,11.253033,348500
1998-08-21,13.0,13.0,13.0,13.0,11.253033,804000
1998-08-24,13.0,13.0,13.0,13.0,11.253033,119700
1998-08-25,13.0,13.0,12.875,13.0,11.253033,294100
1998-08-26,13.0,13.0,12.125,12.25,10.603817,383800
1998-08-27,12.25,12.375,10.75,11.125,9.629996,435300
1998-08-28,11.375,11.375,10.0,10.0,8.656178,192400
1998-08-31,10.0,10.125,7.625,8.125,7.033144,150800
1998-09-01,8.25,9.0,6.6875,8.5,7.3577509999999995,440700
1998-09-02,8.5,10.5,8.5,9.5625,8.277471,509200
1998-09-03,9.75,9.75,8.5,8.75,7.574155,165900
1998-09-04,9.0,9.0,8.125,8.375,7.249549000000001,155700
1998-09-08,9.0,10.0,8.75,9.875,8.547975,149300
1998-09-09,9.875,10.0,9.5,9.5,8.223369,116900
1998-09-10,9.375,9.375,9.0,9.25,8.006964,80700
1998-09-11,9.3125,9.375,9.0,9.0,7.79056,84800
1998-09-14,9.25,9.625,9.0,9.0,7.79056,90800
1998-09-15,9.125,9.25,8.625,8.75,7.574155,200400
1998-09-16,8.75,8.75,7.75,7.875,6.816739999999999,221300
1998-09-17,7.875,8.625,7.875,8.2812,7.168353999999999,87300
1998-09-18,8.375,8.6875,7.75,8.25,7.141346,147300
1998-09-21,7.875,8.0,6.875,7.0,6.059324,472900
1998-09-22,7.125,8.125,7.0625,8.0,6.924942,728300
1998-09-23,8.25,8.625,8.0,8.375,7.249549000000001,382500
1998-09-24,8.5,9.375,8.5,9.0625,7.844661,280800
1998-09-25,8.75,9.4375,8.75,9.375,8.115167,44400
1998-09-28,9.5,9.875,9.375,9.375,8.115167,26500
1998-09-29,9.5,9.75,9.25,9.5312,8.250376,88300
1998-09-30,9.5,10.0625,9.375,9.625,8.331571,172300
1998-10-01,9.625,9.625,8.875,8.875,7.682359,85500
1998-10-02,8.875,9.25,8.875,8.875,7.682359,58700
1998-10-05,8.75,8.875,8.0,8.0,6.924942,63000
1998-10-06,9.0,9.125,8.0,8.375,7.249549000000001,129500
1998-10-07,8.375,8.625,7.8125,7.8125,6.762638000000001,340400
1998-10-08,7.75,7.8125,6.0,6.3125,5.464212,346800
1998-10-09,7.0,7.125,6.125,6.25,5.410111,271500
1998-10-12,6.5,6.5,6.0,6.25,5.410111,660400
1998-10-13,6.25,7.5,6.25,7.0,6.059324,228600
1998-10-14,6.875,7.625,6.875,7.625,6.600336,46400
1998-10-15,7.5,7.625,7.375,7.5625,6.546233999999999,44100
1998-10-16,7.8125,8.375,7.5,7.875,6.816739999999999,421600
1998-10-19,8.125,8.5625,8.0,8.5625,7.411853,50600
1998-10-20,8.625,9.5,8.5,9.375,8.115167,354800
1998-10-21,9.4375,10.375,9.4375,10.0,8.656178,156000
