Date,Open,High,Low,Close,Adj Close,Volume
1998-01-02,5.53125,5.78125,5.53125,5.78125,4.2042910000000004,112400
1998-01-05,6.03125,6.09375,5.625,5.625,4.090661,629600
1998-01-06,5.59375,5.59375,5.25,5.421875,3.9429440000000002,915200
1998-01-07,5.421875,5.75,5.421875,5.5625,4.04521,164800
1998-01-08,5.5,5.78125,5.5,5.75,4.181567,236000
1998-01-09,5.65625,5.75,5.5,5.5,3.9997589999999996,140400
1998-01-12,5.375,5.53125,5.34375,5.34375,3.8861269999999997,927200
1998-01-13,5.5,5.5,5.3125,5.4375,3.954306,100400
1998-01-14,5.4375,5.5625,5.34375,5.359375,3.8974919999999997,585600
1998-01-15,5.4375,5.4375,5.34375,5.375,3.9088519999999995,417200
1998-01-16,5.4375,5.59375,5.34375,5.5625,4.04521,69200
1998-01-20,5.5,5.78125,5.5,5.78125,4.2042910000000004,348800
1998-01-21,5.75,5.78125,5.71875,5.75,4.181567,141600
1998-01-22,5.71875,5.75,5.65625,5.65625,4.113389,92400
1998-01-23,5.65625,5.875,5.65625,5.8125,4.2270199999999996,211200
1998-01-26,5.875,5.875,5.625,5.71875,4.1588400000000005,497200
1998-01-27,5.75,5.75,5.625,5.625,4.090661,96400
1998-01-28,5.625,5.6875,5.625,5.65625,4.113389,154800
1998-01-29,5.65625,5.8125,5.65625,5.71875,4.1588400000000005,108400
1998-01-30,5.796875,5.796875,5.65625,5.71875,4.1588400000000005,130400
1998-02-02,5.78125,6.15625,5.78125,6.0,4.363373999999999,580800
1998-02-03,5.9375,6.125,5.9375,6.0,4.363373999999999,159200
1998-02-04,6.0,6.09375,5.90625,5.90625,4.295194,557600
1998-02-05,5.875,5.96875,5.875,5.875,4.272468,73200
1998-02-06,5.96875,6.09375,5.875,5.9375,4.317923,246800
1998-02-09,5.90625,6.1875,5.90625,6.0625,4.408825,724800
1998-02-10,6.0625,6.3125,6.0625,6.25,4.54518,401600
1998-02-11,6.15625,6.25,5.53125,5.75,4.181567,2063200
1998-02-12,5.8125,5.90625,5.75,5.90625,4.295194,464400
1998-02-13,5.96875,5.96875,5.8125,5.9375,4.317923,163200
1998-02-17,6.03125,6.03125,5.875,5.90625,4.295194,697200
1998-02-18,6.0,6.0,5.90625,5.90625,4.295194,2071200
1998-02-19,6.0,6.0,5.84375,5.84375,4.249743,184800
1998-02-20,5.84375,5.90625,5.78125,5.78125,4.2042910000000004,89200
1998-02-23,5.78125,5.84375,5.71875,5.71875,4.1588400000000005,621600
1998-02-24,5.71875,5.828125,5.5,5.5,3.9997589999999996,417600
1998-02-25,5.5,5.625,5.46875,5.59375,4.067934999999999,201200
1998-02-26,5.5625,5.5625,5.46875,5.46875,3.9770309999999998,149200
1998-02-27,5.53125,5.6875,5.46875,5.6875,4.136116,278000
1998-03-02,5.60155,5.6875,5.40625,5.40625,3.9315800000000003,360400
1998-03-03,5.5,5.5,5.34375,5.375,3.9088519999999995,414000
1998-03-04,5.5,5.5,5.375,5.40625,3.9315800000000003,489600
1998-03-05,5.34375,5.4375,5.34375,5.40625,3.9315800000000003,228000
1998-03-06,5.375,5.5,5.375,5.4375,3.954306,424400
1998-03-09,5.5,5.5,5.375,5.4375,3.954306,106400
1998-03-10,5.4375,5.4375,5.375,5.375,3.919667,232400
1998-03-11,5.4375,5.5625,5.375,5.515625,4.022218,1950800
1998-03-12,5.5,5.625,5.5,5.53125,4.033613,297200
1998-03-13,5.53125,5.78125,5.5,5.6875,4.147557,247200
1998-03-16,5.75,5.96875,5.625,5.90625,4.307075,792400
1998-03-17,5.8125,5.84375,5.6875,5.75,4.193131,916400
1998-03-18,5.6875,5.78125,5.6875,5.78125,4.215922,1550000
1998-03-19,5.8125,5.921875,5.75,5.875,4.284286,597200
1998-03-20,5.8125,5.90625,5.8125,5.875,4.284286,258000
1998-03-23,5.8125,5.90625,5.8125,5.8125,4.23871,368000
1998-03-24,5.84375,6.03125,5.8125,6.0,4.375442,906800
1998-03-25,6.0,6.15625,5.875,5.875,4.284286,408400
1998-03-26,6.0625,6.0625,5.875,5.875,4.284286,344800
1998-03-27,5.875,6.0,5.875,5.953125,4.34126,220800
1998-03-30,5.96875,6.03125,5.96875,6.0,4.375442,136000
1998-03-31,6.0,6.5625,6.0,6.5,4.740065,1022400
1998-04-01,6.15625,6.25,6.078125,6.1875,4.5121720000000005,1616800
1998-04-02,6.15625,6.75,6.0625,6.6875,4.876796,1160000
1998-04-03,6.40625,6.484375,6.25,6.28125,4.5805419999999994,1657600
1998-04-06,6.25,6.5,6.1875,6.328125,4.614726999999999,317200
1998-04-07,6.28125,6.28125,6.1875,6.1875,4.5121720000000005,139600
1998-04-08,6.1875,6.21875,6.125,6.125,4.4665989999999995,496000
1998-04-09,6.125,6.1875,5.9375,6.0,4.375442,221600
1998-04-13,6.0,6.0,5.6875,5.8125,4.23871,314000
1998-04-14,5.84375,5.90625,5.71875,5.78125,4.215922,233600
1998-04-15,5.71875,5.75,5.59375,5.75,4.193131,2683200
1998-04-16,5.6875,5.9375,5.6875,5.828125,4.250103,126400
1998-04-17,5.84375,5.9375,5.75,5.828125,4.250103,326400
1998-04-20,5.71875,5.8125,5.6875,5.8125,4.23871,279600
1998-04-21,5.8125,5.8125,5.71875,5.75,4.193131,226000
1998-04-22,5.8125,5.84375,5.71875,5.8125,4.23871,903600
1998-04-23,5.84375,5.84375,5.6875,5.78125,4.215922,685200
1998-04-24,5.75,5.78125,5.71875,5.75,4.193131,143200
1998-04-27,5.75,5.75,5.59375,5.625,4.101978,1390000
