Date,Open,High,Low,Close,Adj Close,Volume
1998-01-02,29.0625,29.0625,28.4375,28.71875,18.706841,1021000
1998-01-05,28.84375,29.0,28.125,28.21875,18.381149,1497000
1998-01-06,28.09375,28.25,27.75,28.125,18.320091,1258400
1998-01-07,28.03125,28.0625,27.6875,27.78125,18.096182000000002,1418200
1998-01-08,27.1875,27.21875,26.5,26.90625,17.526208999999998,2289600
1998-01-09,26.78125,26.78125,25.125,25.40625,16.549135,2416200
1998-01-12,24.90625,26.5625,24.8125,26.34375,17.159815,2512800
1998-01-13,26.4375,26.46875,25.8125,25.96875,16.915543,1781600
1998-01-14,25.9375,26.5625,25.8125,26.5,17.261591,1194600
1998-01-15,26.46875,26.46875,25.75,25.75,16.773052,1090200
1998-01-16,25.84375,26.34375,25.8125,25.96875,16.915543,1504000
1998-01-20,26.0625,26.46875,25.9375,26.46875,17.241241,1754800
1998-01-21,26.375,26.375,25.6875,25.8125,16.813766,2769600
1998-01-22,25.5625,26.1875,25.53125,25.59375,16.671276000000002,1991400
1998-01-23,25.59375,25.90625,25.46875,25.71875,16.752697,2394200
1998-01-26,25.8125,26.0625,25.03125,25.375,16.528788,1611200
1998-01-27,25.34375,25.625,24.6875,24.6875,16.080959,4093600
1998-01-28,24.875,25.78125,24.875,25.5,16.610210000000002,1583800
1998-01-29,25.5,26.25,25.5,26.125,17.017321,1632000
1998-01-30,26.125,26.375,25.65625,26.375,17.180168,1450400
1998-02-02,26.875,27.5625,26.6875,27.40625,17.851898000000002,2497000
1998-02-03,27.5,27.625,27.03125,27.0625,17.627989000000003,1680600
1998-02-04,27.15625,27.375,26.90625,27.0625,17.627989000000003,1111200
1998-02-05,27.09375,27.3125,26.75,26.875,17.505869,1055000
1998-02-06,27.25,27.46875,27.125,27.25,17.750126,1254000
1998-02-09,27.15625,28.09375,27.125,27.8125,18.116533,1781000
1998-02-10,28.15625,28.375,27.84375,28.03125,18.259016,1924400
1998-02-11,28.3125,28.34375,27.625,27.90625,18.177599,894800
1998-02-12,27.90625,28.46875,27.6875,28.34375,18.462568,878000
1998-02-13,28.34375,28.8125,28.3125,28.75,18.727198,1380000
1998-02-17,28.75,28.75,28.0,28.125,18.320091,1302000
1998-02-18,28.0,28.0,27.46875,27.90625,18.177599,1320800
1998-02-19,27.96875,28.21875,27.59375,27.96875,18.218311,1309000
1998-02-20,27.96875,28.46875,27.59375,28.375,18.482935,1650000
1998-02-23,28.3125,28.375,27.96875,28.0,18.238665,1139000
1998-02-24,27.875,28.21875,27.59375,27.59375,17.974037,1270400
1998-02-25,27.5625,27.78125,27.46875,27.53125,17.933325,1286400
1998-02-26,27.53125,28.25,27.375,28.1875,18.360792,1070400
1998-02-27,28.25,28.34375,27.96875,28.0625,18.279375,1379200
1998-03-02,28.125,28.5625,27.9375,28.5,18.564354,2091400
1998-03-03,28.25,28.5625,28.21875,28.21875,18.381149,1337600
1998-03-04,28.46875,28.75,28.3125,28.5625,18.605066,2351000
1998-03-05,28.25,28.65625,28.1875,28.4375,18.523632,1338200
1998-03-06,28.40625,29.0,28.25,29.0,18.890043,1766400
1998-03-09,29.0,29.1875,28.375,28.4375,18.523632,1322600
1998-03-10,28.3125,28.65625,28.3125,28.40625,18.503288,1140600
1998-03-11,28.375,28.90625,28.34375,28.8125,18.76791,1407800
1998-03-12,28.84375,28.875,28.4375,28.5625,18.605066,1674800
1998-03-13,28.59375,29.15625,28.375,28.4375,18.523632,1378000
1998-03-16,28.4375,29.40625,28.4375,29.34375,19.113962,2546200
1998-03-17,29.5,29.8125,29.375,29.625,19.297159,2237000
1998-03-18,29.46875,29.75,29.4375,29.65625,19.317513,1238800
1998-03-19,29.625,30.53125,29.625,30.28125,19.724613,2131400
1998-03-20,30.4375,30.9375,30.40625,30.84375,20.091028,3053000
1998-03-23,31.0,31.0,30.59375,30.78125,20.050311999999998,1582400
1998-03-24,30.84375,31.5,30.65625,31.375,20.437075,1836200
1998-03-25,31.875,32.0625,31.28125,31.4375,20.477781,2207800
1998-03-26,31.25,31.78125,30.9375,31.5,20.518486,2521600
1998-03-27,32.0625,32.0625,31.0625,31.4375,20.549543,1482600
1998-03-30,31.375,31.375,30.75,30.90625,20.202285999999997,1246000
1998-03-31,31.3125,31.4375,30.75,30.96875,20.243135000000002,1261000
1998-04-01,30.125,30.6875,30.03125,30.625,20.018444,1935600
1998-04-02,30.65625,30.875,30.375,30.84375,20.161434,1171200
1998-04-03,30.875,30.875,30.25,30.4375,19.895885,1486400
1998-04-06,30.03125,30.53125,29.90625,29.9375,19.569044,2087000
1998-04-07,29.6875,29.9375,29.5,29.84375,19.507767,2770600
1998-04-08,29.9375,30.125,29.75,29.75,19.446489,1451400
1998-04-09,29.8125,29.96875,29.625,29.875,19.528194,1185600
1998-04-13,29.78125,29.875,29.34375,29.34375,19.180937,1791800
1998-04-14,29.46875,31.0,29.4375,30.5,19.936741,1920200
1998-04-15,30.75,31.25,30.6875,31.0625,20.304419,2525600
1998-04-16,31.0625,31.0625,30.71875,30.84375,20.161434,1336000
1998-04-17,31.0625,31.25,30.59375,31.21875,20.406557,1489000
1998-04-20,31.0,31.125,30.625,30.75,20.100153,1066200
1998-04-21,30.5625,31.28125,30.40625,31.28125,20.447401,1659600
1998-04-22,31.21875,31.375,31.0625,31.21875,20.406557,1338800
1998-04-23,31.0,31.125,30.875,30.90625,20.202285999999997,968000
1998-04-24,30.90625,31.125,30.0625,30.125,19.691616,1509400
1998-04-27,29.5625,29.59375,28.375,28.40625,18.568120999999998,2499400
1998-04-28,28.90625,28.90625,28.21875,28.25,18.465994,3175800
1998-04-29,28.5,28.59375,28.25,28.3125,18.506842000000002,1739000
1998-04-30,28.5,29.5,28.4375,29.21875,19.099232,1621200
1998-05-01,29.0,29.46875,29.0,29.46875,19.262646,757600
1998-05-04,29.5,29.75,29.0625,29.09375,19.017529,1272200
1998-05-05,28.8125,28.96875,28.09375,28.28125,18.486414,2206400
1998-05-06,28.4375,28.625,28.125,28.25,18.465994,1703600
1998-05-07,28.625,28.78125,28.375,28.5625,18.670261,1437200
1998-05-08,28.5,28.90625,28.46875,28.65625,18.731539,1397200
1998-05-11,28.5625,28.625,28.3125,28.40625,18.568120999999998,890400
1998-05-12,28.15625,28.46875,28.125,28.46875,18.608978,1378800
1998-05-13,28.15625,28.375,27.78125,28.0,18.302576000000002,1432200
1998-05-14,27.96875,28.125,27.875,28.03125,18.322996,1269000
1998-05-15,28.03125,28.0625,27.78125,27.8125,18.180017000000003,673200
1998-05-18,27.90625,27.96875,27.3125,27.5,17.975744,1426000
1998-05-19,28.0,28.0625,27.40625,27.46875,17.955315,2040400
1998-05-20,27.25,27.4375,26.1875,26.59375,17.383361999999998,4048000
1998-05-21,26.53125,26.59375,25.5625,26.25,17.158663,4646600
1998-05-22,26.3125,26.59375,26.0625,26.21875,17.138241,1846600
1998-05-26,26.25,26.59375,26.15625,26.1875,17.117813,2147800
1998-05-27,26.0,26.28125,25.8125,25.875,16.913535999999997,2277200
1998-05-28,25.875,26.09375,25.6875,26.0,16.995247,2019800
1998-05-29,26.0625,26.1875,25.90625,25.9375,16.954386,2894000
1998-06-01,26.0,26.1875,25.75,25.96875,16.974817,2161200
1998-06-02,26.0,26.34375,25.625,25.65625,16.77055,2503200
1998-06-03,25.53125,25.78125,25.03125,25.0625,16.382441,2401400
1998-06-04,25.0625,25.28125,24.96875,25.15625,16.443722,2170200
1998-06-05,25.65625,25.65625,25.28125,25.46875,16.647989000000003,1529000
1998-06-08,25.625,25.65625,25.4375,25.4375,16.627567000000003,1422000
1998-06-09,25.5,25.5625,25.28125,25.5625,16.709269,1531400
1998-06-10,25.4375,26.34375,25.4375,25.78125,16.852257,2590000
1998-06-11,25.6875,25.75,24.4375,24.65625,16.116896,2465200
1998-06-12,24.6875,24.96875,24.25,24.5,16.014754999999997,1991400
1998-06-15,23.6875,24.78125,23.6875,24.15625,15.79006,2340200
