Date,Open,High,Low,Close,Adj Close,Volume
1998-01-02,29.78125,30.125,29.78125,30.0625,15.705651999999999,292600
1998-01-05,30.1875,30.28125,30.0625,30.125,15.738309,267200
1998-01-06,30.125,30.21875,29.9375,30.0625,15.705651999999999,339200
1998-01-07,30.0,30.125,29.59375,29.6875,15.509742000000001,440000
1998-01-08,29.6875,29.84375,29.5,29.5625,15.444439000000001,168000
1998-01-09,29.8125,29.8125,29.03125,29.15625,15.232204999999999,480600
1998-01-12,28.84375,29.3125,28.6875,29.3125,15.313822,404800
1998-01-13,29.28125,29.3125,28.59375,29.0,15.150568,640800
1998-01-14,29.0,29.34375,28.84375,29.34375,15.330151999999998,254400
1998-01-15,29.34375,29.34375,29.0,29.125,15.215864999999999,749600
1998-01-16,29.375,29.8125,29.375,29.78125,15.558724,286600
1998-01-20,29.78125,29.78125,29.40625,29.71875,15.526067999999999,609200
1998-01-21,29.59375,29.625,28.90625,29.40625,15.362808,517000
1998-01-22,29.28125,29.5,29.0,29.46875,15.395461,525000
1998-01-23,29.34375,29.5,29.1875,29.3125,15.313822,420000
1998-01-26,29.40625,29.46875,29.3125,29.34375,15.330151999999998,212800
1998-01-27,28.8125,29.21875,28.8125,29.09375,15.199541,212000
1998-01-28,29.1875,29.40625,28.40625,29.40625,15.362808,774800
1998-01-29,29.25,30.5,29.21875,30.0,15.672998999999999,1062800
1998-01-30,29.9375,29.9375,29.53125,29.78125,15.558724,373000
1998-02-02,29.90625,30.25,29.875,30.21875,15.787282999999999,430200
1998-02-03,30.125,30.21875,29.84375,30.21875,15.787282999999999,244200
1998-02-04,30.34375,30.34375,29.75,30.0625,15.705651999999999,384600
1998-02-05,30.0,30.125,29.84375,30.03125,15.689331,299200
1998-02-06,30.15625,30.3125,29.84375,30.0,15.672998999999999,439200
1998-02-09,30.0,30.25,29.875,30.21875,15.787282999999999,182400
1998-02-10,30.21875,31.125,30.21875,31.0625,16.228088,480800
1998-02-11,31.1875,31.5,31.15625,31.375,16.39134,499600
1998-02-12,31.375,31.75,31.03125,31.65625,16.538279,482600
