Date,Open,High,Low,Close,Adj Close,Volume
1999-05-04,76.0,77.25,70.0,70.375,58.106514000000004,22320900
1999-05-05,69.875,69.875,66.25,69.125,57.074431999999995,7565700
1999-05-06,68.0,69.375,67.0625,67.9375,56.093956000000006,2905700
1999-05-07,67.9375,74.875,66.75,74.125,61.202785,4862300
1999-05-10,73.375,73.5,70.25,70.6875,58.364540000000005,2589400
1999-05-11,70.0,71.1875,69.5,70.625,58.312923,1839800
1999-05-12,71.0,74.875,69.125,73.5,60.68676800000001,2659300
1999-05-13,73.25,75.25,72.5,73.1875,60.428711,1142900
1999-05-14,71.25,72.25,69.0625,70.1875,57.95170600000001,2058400
1999-05-17,69.125,70.25,68.0,68.625,56.661606000000006,2075000
1999-05-18,68.25,70.4375,68.125,68.625,56.661606000000006,1407100
1999-05-19,69.375,69.8125,68.75,69.3125,57.229248,727400
1999-05-20,69.5625,70.125,68.375,68.375,56.455185,520800
1999-05-21,68.125,68.8125,67.5,67.5,55.732727000000004,936200
1999-05-24,67.0,67.25,65.0,65.3125,53.926559,1493000
1999-05-25,64.125,65.9375,64.0,64.5,53.255699,1662400
1999-05-26,65.625,66.625,63.0625,66.0625,54.545815000000005,1602900
1999-05-27,65.0,67.75,64.6875,67.75,55.939114000000004,1220500
1999-05-28,67.75,68.8125,67.0,67.9375,56.093956000000006,901900
1999-06-01,66.625,66.625,63.5625,64.1875,52.997684,953900
1999-06-02,63.75,64.0625,62.0,63.25,52.223606,2204300
1999-06-03,64.0,64.1875,63.125,63.625,52.533249,852600
1999-06-04,64.3125,67.0,64.3125,65.375,53.978172,1357400
1999-06-07,65.1875,67.75,65.1875,65.9375,54.442612,891900
1999-06-08,65.375,65.6875,63.75,63.75,52.636463,571700
1999-06-09,64.25,65.5,63.625,65.5,54.08136700000001,611400
1999-06-10,64.875,64.9375,63.3125,63.375,52.326828000000006,664200
1999-06-11,63.9375,64.3125,62.3125,63.25,52.223606,969300
1999-06-14,63.5,64.0,60.5,61.25,50.572289000000005,821100
1999-06-15,62.875,63.375,62.25,62.75,51.810787,831700
1999-06-16,63.9375,65.4375,63.9375,65.25,53.87495,690300
1999-06-17,64.5,66.875,64.5,65.0,53.668541000000005,955700
1999-06-18,64.25,64.875,63.5,64.8125,53.513725,613900
1999-06-21,66.6875,69.9375,66.5625,69.5,57.384048,1811000
1999-06-22,70.125,70.125,67.75,68.0,56.145542000000006,1165900
1999-06-23,67.0625,67.4375,64.875,65.0,53.668541000000005,1351700
1999-06-24,66.0625,66.5,64.5,65.0625,53.720146,1408900
1999-06-25,65.5,66.8125,65.375,66.25,54.700642,1111500
1999-06-28,66.4375,67.5,65.75,66.5625,54.958645,784600
1999-06-29,66.0,68.5,66.0,67.75,55.939114000000004,629800
1999-06-30,68.5,72.25,66.125,72.25,59.65464,2127600
1999-07-01,71.375,71.4375,69.75,70.8125,58.467751,813600
1999-07-02,70.5625,71.1875,69.6875,70.9375,58.570938,536900
1999-07-06,70.0,71.1875,69.25,70.5,58.20970500000001,747600
1999-07-07,69.5625,70.0,68.0,68.0,56.145542000000006,648800
1999-07-08,68.0,68.875,67.1875,67.25,55.526299,424400
1999-07-09,67.4375,68.1875,67.25,67.25,55.526299,312700
1999-07-12,68.0,68.9375,67.875,68.375,56.455185,547700
1999-07-13,68.25,68.6875,67.625,67.875,56.042343,969600
1999-07-14,67.375,67.75,67.3125,67.625,55.83590699999999,888200
1999-07-15,68.0,68.0,67.5,67.9375,56.093956000000006,864700
1999-07-16,67.75,68.75,67.75,68.0625,56.197163,476700
1999-07-19,68.25,70.75,68.25,69.4375,57.332466000000004,646100
1999-07-20,69.125,70.4375,67.875,68.125,56.248764,886100
1999-07-21,68.0,68.0625,67.125,67.875,56.042343,626100
1999-07-22,68.125,68.25,66.5,66.5,54.907043,579500
1999-07-23,66.375,66.375,64.0,64.0625,52.894496999999994,767200
1999-07-26,64.25,64.75,63.1875,63.25,52.223606,749500
1999-07-27,64.25,65.75,63.3125,65.5,54.08136700000001,592200
1999-07-28,65.25,66.375,64.0,66.0625,54.545815000000005,584800
1999-07-29,65.5,65.5,64.5,65.0,53.668541000000005,646000
1999-07-30,65.0,65.0,63.625,64.3125,53.100894999999994,629600
1999-08-02,64.25,64.5625,62.375,62.8125,51.862396000000004,566400
1999-08-03,62.8125,62.8125,60.75,60.8125,50.211059999999996,837700
1999-08-04,60.5625,61.5,60.0,60.0,49.540195000000004,1281600
1999-08-05,59.8125,60.0,57.8125,59.25,48.920937,1539900
1999-08-06,58.9375,58.9375,56.0,56.25,46.443932000000004,1308500
1999-08-09,56.5,57.5,55.8125,55.8125,46.082695,1347500
1999-08-10,56.25,57.1875,55.1875,57.0,47.164589,1817400
1999-08-11,57.875,61.5625,57.4375,61.5,50.888115,1369200
1999-08-12,61.4375,62.1875,60.5625,60.6875,50.215816,832800
1999-08-13,62.4375,63.25,62.0625,63.125,52.232731,557400
1999-08-16,63.0,63.0,60.875,62.875,52.025837,762600
1999-08-17,63.25,64.5,62.625,63.0,52.129288,936900
1999-08-18,63.0,63.0,61.0625,62.3125,51.560406,819300
1999-08-19,61.625,62.5,60.8125,61.5625,50.939819,624600
1999-08-20,61.8125,62.9375,61.625,62.3125,51.560406,439600
1999-08-23,62.8125,63.8125,62.625,63.625,52.646423,837200
1999-08-24,63.5625,65.0,62.8125,63.4375,52.491291000000004,894200
1999-08-25,63.125,64.3125,62.3125,64.0,52.95673000000001,449900
1999-08-26,64.0,64.875,62.75,62.75,51.92244,378400
1999-08-27,63.0,63.0,61.5,61.5625,50.939819,265300
1999-08-30,61.75,61.75,59.3125,59.3125,49.078072,438100
1999-08-31,59.5,60.5,58.6875,59.8125,49.491787,496600
1999-09-01,60.5625,60.6875,59.8125,60.3125,49.90551,560100
1999-09-02,59.5,60.4375,58.875,59.25,49.02636,727600
1999-09-03,60.75,63.125,60.75,63.125,52.232731,754900
1999-09-07,63.0,64.4375,62.4375,62.5,51.715553,813600
1999-09-08,62.4375,63.625,62.125,62.5625,51.767272999999996,732100
1999-09-09,62.5,62.5625,61.0,61.75,51.094978000000005,448800
1999-09-10,62.375,63.0937,61.625,63.0937,52.20681,636300
1999-09-13,62.1875,62.8125,62.0,62.125,51.405251,250700
1999-09-14,61.375,61.375,58.75,59.375,49.12978,1160600
1999-09-15,60.125,60.125,58.0625,58.3125,48.250626000000004,970200
1999-09-16,58.5625,59.125,57.4375,57.6875,47.733475,753200
1999-09-17,58.625,60.0625,58.5,60.0625,49.69865,1116700
1999-09-20,60.0625,60.75,59.5,60.75,50.267525,721800
1999-09-21,60.5625,61.75,58.375,59.125,48.922913,2369100
1999-09-22,59.9375,62.0,59.0625,61.3125,50.732956,1534700
1999-09-23,61.75,62.25,60.75,60.8125,50.319237,889800
1999-09-24,61.0625,62.1875,60.875,61.9375,51.250122,831400
1999-09-27,62.0,62.625,61.25,61.5625,50.939819,624700
1999-09-28,61.3125,62.25,61.0625,62.25,51.50869,819900
1999-09-29,62.375,62.75,61.125,61.4375,50.836395,800900
1999-09-30,61.9375,62.5,61.0,61.0,50.474388,1113400
1999-10-01,61.0,61.25,58.3125,59.1875,48.97464,793300
1999-10-04,59.5,61.6875,59.5,61.6875,51.043246999999994,739400
1999-10-05,62.125,63.25,61.375,62.25,51.50869,1040500
1999-10-06,62.125,64.0,61.8125,64.0,52.95673000000001,944200
1999-10-07,64.0,64.125,63.1875,63.1875,52.284439,366300
1999-10-08,62.5,63.9375,61.875,63.9375,52.905025,488800
1999-10-11,63.75,63.9375,63.5,63.6875,52.698139000000005,229300
1999-10-12,63.6875,63.75,62.75,62.9375,52.077576,644200
1999-10-13,62.375,62.625,60.6875,61.0,50.474388,393000
1999-10-14,60.5,62.5625,58.875,62.0,51.301853,1016000
1999-10-15,60.5,60.625,58.25,59.75,49.440079,1088000
1999-10-18,60.25,60.25,57.9375,59.25,49.02636,732700
1999-10-19,59.5,61.0,59.5,60.375,49.957221999999994,1082700
1999-10-20,60.5,62.375,60.5,61.75,51.094978000000005,499800
1999-10-21,61.25,61.8125,61.125,61.8125,51.246272999999995,281900
1999-10-22,62.75,65.75,62.6875,65.5,54.30344,1644700
1999-10-25,64.9375,65.0,63.25,64.0,53.059841000000006,665000
1999-10-26,63.5,64.5625,61.8125,61.8125,51.246272999999995,650200
1999-10-27,62.0625,64.75,62.0,64.375,53.370739,1412500
1999-10-28,64.5,72.5,64.5,72.0,59.692314,3983400
1999-10-29,72.0625,73.75,70.1875,71.0,58.863243000000004,2490500
1999-11-01,70.5,71.0,69.3125,69.375,57.516064,949300
1999-11-02,69.1875,71.75,69.125,69.75,57.826916000000004,543000
1999-11-03,69.8125,69.875,68.3125,68.75,56.997893999999995,924000
1999-11-04,69.6875,70.75,69.4375,70.125,58.137843999999994,570400
1999-11-05,72.0,74.3125,71.25,73.6875,61.091366,1304900
1999-11-08,73.5,73.5,72.5,73.0,60.521384999999995,651600
1999-11-09,73.5,73.5625,71.75,71.875,59.58870699999999,695600
1999-11-10,71.0,72.75,70.625,71.9375,59.640494999999994,678700
1999-11-11,72.0,73.5,71.5625,73.3125,60.780494999999995,574300
1999-11-12,73.9375,79.8125,73.75,79.75,66.117508,2227700
1999-11-15,78.75,79.9375,77.25,78.0,64.66667199999999,997100
1999-11-16,78.375,83.0,78.375,82.8125,68.65651700000001,1505100
1999-11-17,81.125,81.375,78.5625,79.5625,65.962074,1245400
1999-11-18,79.8125,81.125,79.25,80.1875,66.480255,1111500
1999-11-19,80.0,80.875,79.625,79.9375,66.272987,329600
1999-11-22,79.5,80.25,78.5,79.6875,66.06575,329900
1999-11-23,79.9375,80.625,77.5,77.75,64.45945,656300
1999-11-24,77.5,77.75,76.75,77.125,63.94125699999999,515700
1999-11-26,77.1875,77.75,76.625,77.3125,64.09671,107600
1999-11-29,77.25,77.25,74.375,74.5,61.76498,517900
1999-11-30,74.75,77.125,74.5,75.125,62.283154,925000
1999-12-01,74.75,76.1875,74.75,76.1875,63.164028,500000
1999-12-02,76.25,77.625,76.25,77.5,64.252151,453600
1999-12-03,78.5,80.6875,78.375,79.0625,65.54759200000001,669500
1999-12-06,79.1875,79.3125,76.5625,77.0,63.837627000000005,295100
1999-12-07,77.25,80.9375,77.25,80.9375,67.102058,883100
1999-12-08,81.8125,81.8125,80.0,80.0,66.324799,732200
1999-12-09,80.75,82.25,79.75,80.0,66.324799,1205700
1999-12-10,80.0,82.4375,79.5625,82.0,67.982895,1386300
1999-12-13,81.5,82.9375,81.0625,82.0625,68.03478199999999,938500
1999-12-14,81.4375,81.4375,77.8125,78.75,65.28849,1105800
1999-12-15,77.75,79.5,77.75,79.4375,65.85844399999999,1073800
1999-12-16,79.1875,79.5,77.75,78.5625,65.133026,307900
1999-12-17,78.625,80.5625,78.4375,80.1875,66.480255,542100
1999-12-20,82.0,83.625,80.75,81.875,67.87928000000001,1302600
1999-12-21,80.625,83.0,79.5,80.9375,67.102058,1189900
1999-12-22,81.0,81.375,79.125,79.6875,66.06575,526800
1999-12-23,81.0,82.4375,80.6875,81.0,67.15387700000001,532000
1999-12-27,80.5,82.875,80.5,82.0625,68.03478199999999,389200
1999-12-28,82.0625,85.6875,82.0625,85.0,70.470085,821800
1999-12-29,85.5,88.1875,85.375,88.0,72.957268,794800
1999-12-30,90.0,92.875,89.5625,92.1875,76.428947,969200
1999-12-31,91.9375,94.8125,91.5,94.1875,78.08710500000001,383500
2000-01-03,94.1875,94.375,87.75,88.3125,73.21637700000001,1822600
2000-01-04,87.0,87.5,82.25,82.75,68.604713,1647700
2000-01-05,80.875,81.875,78.375,78.875,65.39209699999999,1516600
2000-01-06,78.625,84.5,78.625,82.25,68.190201,1845100
2000-01-07,83.0625,83.1875,79.875,82.5625,68.449303,1127400
2000-01-10,81.75,84.875,81.75,84.375,69.951942,803100
2000-01-11,85.0,86.25,84.5625,84.8125,70.31465899999999,808600
2000-01-12,84.125,86.0,83.375,84.375,69.951942,916100
2000-01-13,85.125,85.125,82.875,84.5,70.05558,711000
2000-01-14,85.5,86.9375,85.3125,85.625,70.988289,607000
2000-01-18,85.0,89.125,84.75,86.875,72.02459,1095700
