Date,Open,High,Low,Close,Adj Close,Volume
1998-01-02,25.96875,25.96875,25.3125,25.5625,19.239557,2163000
1998-01-05,25.625,25.84375,23.78125,23.9375,18.016514,4794000
1998-01-06,23.375,23.5,22.625,22.9375,17.26387,6126600
1998-01-07,23.1875,24.0,22.3125,23.96875,18.040036999999998,8080600
1998-01-08,23.0,23.28125,22.53125,22.53125,16.958097,5783600
1998-01-09,22.5,22.75,21.0,21.1875,15.946738,6973800
1998-01-12,20.375,21.96875,20.375,21.1875,15.946738,4710600
1998-01-13,21.8125,22.625,21.75,22.0625,16.605299,5513600
1998-01-14,21.96875,22.625,21.96875,22.375,16.840498,4226800
1998-01-15,22.96875,23.4375,22.28125,22.375,16.840498,5669400
1998-01-16,22.625,23.375,22.53125,23.25,17.499073000000003,3456200
1998-01-20,23.625,24.40625,23.5,24.25,18.251715,4157800
1998-01-21,24.25,24.25,23.3125,24.0625,18.110603,3014800
1998-01-22,22.3125,22.6875,21.3125,21.75,16.370094,8261600
1998-01-23,22.1875,22.5625,21.40625,21.53125,16.205446,5937200
1998-01-26,22.0,22.28125,21.375,22.0,16.558262,5453400
1998-01-27,21.875,22.40625,21.625,21.6875,16.323055,4068200
1998-01-28,22.0,22.90625,21.875,22.71875,17.099220000000003,4784200
1998-01-29,23.0,24.0,23.0,23.625,17.781315,4366800
1998-01-30,23.5,23.625,22.375,22.46875,16.911064,3916600
1998-02-02,22.6875,22.8125,21.875,22.1875,16.699381,4791000
1998-02-03,22.125,22.59375,21.96875,22.25,16.746418,3640000
1998-02-04,22.25,24.0,22.21875,23.875,17.969475,6992800
1998-02-05,24.25,24.84375,24.15625,24.34375,18.322277,6494000
1998-02-06,24.46875,24.5625,23.875,24.09375,18.134109,3034400
1998-02-09,24.25,24.75,23.3125,23.5,17.687239,3410400
1998-02-10,23.625,24.125,23.625,23.9375,18.016514,2006800
1998-02-11,24.25,24.375,23.78125,23.9375,18.016514,2621400
1998-02-12,23.5625,23.625,22.9375,23.34375,17.569633,2647800
1998-02-13,23.5,24.0,23.40625,23.875,17.969475,2395000
1998-02-17,23.75,23.9375,22.34375,22.75,17.122746,4093000
1998-02-18,22.875,23.25,22.4375,23.125,17.404995,7318200
1998-02-19,23.0,23.21875,22.4375,22.5,16.934576,10707200
1998-02-20,22.59375,22.71875,22.09375,22.4375,16.887545000000003,4912800
1998-02-23,22.1875,22.1875,21.3125,21.75,16.370094,5046800
1998-02-24,21.71875,22.0,21.125,21.46875,16.158410999999997,3512600
1998-02-25,21.6875,22.3125,21.625,22.0,16.558262,4822200
1998-02-26,22.9375,24.375,22.90625,23.25,17.499073000000003,20630200
1998-02-27,23.5,23.625,23.125,23.28125,17.522593,6914000
1998-03-02,23.375,23.875,23.15625,23.875,18.017845,7263400
1998-03-03,24.0,25.0625,23.71875,25.0,18.866851999999998,8687400
1998-03-04,25.25,25.53125,24.21875,24.28125,18.324438,11740400
1998-03-05,24.25,24.75,24.0,24.5,18.489517000000003,4363200
1998-03-06,24.5,24.71875,23.90625,24.0625,18.159344,7986000
1998-03-09,23.75,23.90625,22.8125,23.0,17.357504000000002,5861000
1998-03-10,23.0,23.53125,22.78125,23.5,17.734844,4406200
1998-03-11,23.625,23.96875,23.25,23.375,17.640507,4157200
1998-03-12,22.875,23.15625,22.5,22.9375,17.310347,5947200
1998-03-13,22.9375,23.21875,22.59375,22.8125,17.216010999999998,3289400
1998-03-16,22.9375,22.9375,22.21875,22.21875,16.76792,4025000
1998-03-17,22.25,22.4375,21.0,21.59375,16.296246,10857000
1998-03-18,21.6875,22.5,21.65625,22.46875,16.956583,8885600
1998-03-19,22.75,22.9375,22.25,22.875,17.263168,7374800
1998-03-20,22.90625,24.5,22.875,24.0625,18.159344,10558800
1998-03-23,26.9375,26.9375,25.75,25.875,19.527201,16355000
1998-03-24,25.875,25.875,25.3125,25.375,19.149853,6230000
1998-03-25,25.5,25.84375,25.375,25.75,19.432858,5912400
1998-03-26,25.71875,26.28125,25.5,26.21875,19.78661,6053000
1998-03-27,26.3125,26.5625,25.78125,26.125,19.715851,3602200
1998-03-30,26.15625,26.34375,25.1875,25.375,19.149853,4493800
1998-03-31,25.34375,25.34375,24.875,25.0625,18.914026,3524800
1998-04-01,25.375,26.21875,25.15625,26.09375,19.692277999999998,5971600
1998-04-02,26.09375,26.09375,25.40625,25.9375,19.574366,3516200
1998-04-03,26.375,26.375,25.90625,26.03125,19.645111,3485600
1998-04-06,25.90625,26.125,25.625,25.96875,19.597954,3191000
1998-04-07,25.84375,25.84375,24.875,25.1875,19.008354,3108000
1998-04-08,25.15625,25.5625,24.6875,25.21875,19.031937,3565400
1998-04-09,25.375,25.5,24.90625,24.9375,18.819681,1788400
1998-04-13,24.6875,25.125,24.5,24.5,18.489517000000003,2830600
1998-04-14,24.75,25.0,24.375,24.6875,18.63101,3743800
1998-04-15,24.9375,25.875,24.78125,25.75,19.432858,4689600
1998-04-16,25.875,26.0625,25.0,25.25,19.055519,3822800
1998-04-17,25.1875,25.5,25.125,25.46875,19.22061,3732600
1998-04-20,25.5,26.0625,25.1875,25.34375,19.12627,4545800
1998-04-21,25.34375,26.25,25.09375,26.15625,19.739433,3791600
1998-04-22,26.375,26.78125,26.15625,26.65625,20.116779,6403400
1998-04-23,26.65625,26.90625,26.15625,26.46875,19.975279,3807000
1998-04-24,26.6875,26.6875,26.125,26.15625,19.739433,2579400
1998-04-27,25.9375,26.3125,25.40625,26.15625,19.739433,3875600
1998-04-28,26.4375,26.4375,25.9375,26.1875,19.763026999999997,3675000
1998-04-29,25.96875,27.75,25.96875,27.5,20.753542000000003,7626400
1998-04-30,27.90625,27.90625,27.0,27.375,20.659204000000003,7685400
1998-05-01,27.1875,28.625,27.15625,28.5,21.508207000000002,7003400
1998-05-04,28.25,28.25,27.6875,27.9375,21.0837,3251400
1998-05-05,28.0625,28.28125,27.6875,28.0,21.130876999999998,4294600
1998-05-06,28.125,28.125,27.625,27.625,20.84787,3013400
1998-05-07,27.53125,27.5625,27.0625,27.0625,20.423361,2088600
1998-05-08,27.15625,27.375,26.78125,27.03125,20.399788,2560200
1998-05-11,26.9375,27.28125,26.0625,26.25,19.81019,5649400
1998-05-12,26.1875,26.375,25.90625,26.0,19.621525,4409600
1998-05-13,26.0,26.375,25.875,25.9375,19.574366,3877800
1998-05-14,26.125,26.21875,25.78125,25.9375,19.574366,2238800
1998-05-15,26.0,26.0625,25.0625,25.25,19.055519,3706600
1998-05-18,25.4375,25.4375,24.75,25.0625,18.914026,2893200
1998-05-19,25.3125,25.625,24.875,25.21875,19.031937,3996400
1998-05-20,25.375,25.59375,24.75,24.96875,18.843275,3015000
1998-05-21,25.0,25.40625,24.71875,24.8125,18.725348999999998,3303000
1998-05-22,24.9375,24.96875,24.4375,24.65625,18.607431,1947200
1998-05-26,25.125,25.125,24.15625,24.625,18.583855,4106200
1998-05-27,24.5,24.5,23.53125,24.28125,18.324438,3380600
1998-05-28,24.28125,24.28125,23.375,24.0,18.112175,5502600
1998-05-29,23.625,24.28125,23.625,23.75,17.923506,6991400
1998-06-01,23.5625,23.59375,22.78125,22.875,17.308723,4418000
1998-06-02,22.75,23.09375,22.40625,22.5,17.024969,6278600
1998-06-03,22.53125,22.6875,22.0625,22.125,16.741217000000002,4434800
1998-06-04,22.375,23.0625,22.375,22.90625,17.332371,4994600
1998-06-05,23.25,23.5,23.03125,23.4375,17.734354,3654600
1998-06-08,23.5625,23.65625,22.9375,23.375,17.68705,4495000
1998-06-09,23.03125,23.375,22.84375,23.03125,17.426947,2653200
1998-06-10,23.03125,23.0625,22.3125,22.34375,16.906738,4187600
1998-06-11,22.25,22.25,20.875,21.125,15.984551999999999,11076200
1998-06-12,21.09375,22.0,21.0,21.9375,16.599342,7521800
1998-06-15,21.59375,21.625,20.9375,21.03125,15.913617000000002,3972800
1998-06-16,21.0625,21.78125,21.0625,21.59375,16.339245000000002,4339000
1998-06-17,21.96875,22.28125,21.78125,21.875,16.552053,3821000
1998-06-18,21.8125,21.96875,21.09375,21.1875,16.031848999999998,3998800
1998-06-19,21.25,21.4375,21.0625,21.25,16.079132,3272200
1998-06-22,21.375,22.25,21.375,21.9375,16.599342,3851600
1998-06-23,22.25,22.71875,22.0625,22.5,17.024969,4101200
1998-06-24,23.0,23.0625,22.34375,22.5,17.024969,4274200
1998-06-25,22.5,22.625,21.96875,22.15625,16.764860000000002,4015200
1998-06-26,22.25,22.3125,20.9375,21.625,16.362892000000002,5105000
1998-06-29,21.84375,22.0625,21.5625,22.0,16.646629,2422400
1998-06-30,22.21875,22.4375,21.90625,22.21875,16.812164000000003,3209600
1998-07-01,22.25,22.65625,21.84375,22.25,16.8358,3197800
1998-07-02,22.3125,22.84375,22.125,22.5,17.024969,5621600
1998-07-06,22.625,22.65625,21.78125,21.78125,16.48111,2835400
1998-07-07,21.8125,21.8125,21.125,21.21875,16.05549,3437400
