Date,Open,High,Low,Close,Adj Close,Volume
1998-01-02,21.0,22.0,20.5,21.125,19.82744,533600
1998-01-05,21.125,21.25,20.8125,21.25,19.944767000000002,262000
1998-01-06,20.75,21.0,20.5,20.75,19.475476999999998,409700
1998-01-07,20.75,21.75,20.5625,21.75,20.414051,395300
1998-01-08,21.75,21.875,20.375,20.8125,19.534136,417400
1998-01-09,20.8125,20.8125,19.25,19.625,18.419575,294400
1998-01-12,19.375,20.0,19.375,20.0,18.771544,292500
1998-01-13,20.0,20.0,19.625,19.75,18.536901,181200
1998-01-14,19.5,20.375,19.4375,20.375,19.123507999999998,324900
1998-01-15,20.375,20.375,19.9375,19.9375,18.712889,358400
1998-01-16,19.9375,20.375,19.9375,20.1875,18.947523,364100
1998-01-20,20.1875,20.1875,19.875,20.0,18.771544,672900
1998-01-21,20.0,20.125,19.9375,19.9375,18.712889,738900
1998-01-22,19.9375,19.9375,19.5625,19.8125,18.595562,325400
1998-01-23,19.5,19.625,19.25,19.5,18.302254,265900
1998-01-26,19.5,19.875,19.5,19.75,18.536901,205800
1998-01-27,19.6875,20.0,19.6875,19.9375,18.712889,328200
1998-01-28,19.875,20.4375,19.8125,20.0625,18.830204000000002,886900
1998-01-29,20.0,20.625,20.0,20.125,18.888866,370200
1998-01-30,20.125,20.625,20.0625,20.0625,18.830204000000002,421200
1998-02-02,20.25,20.625,20.125,20.625,19.35815,423100
1998-02-03,20.4375,20.4375,19.625,20.4375,19.182171,337300
1998-02-04,20.25,20.875,20.125,20.5,19.240828,479900
1998-02-05,20.875,21.75,20.75,21.6875,20.355394,916000
1998-02-06,20.875,21.1875,20.8125,21.0,19.710123,822800
1998-02-09,21.0,22.0,21.0,21.75,20.414051,703200
1998-02-10,21.8125,22.125,21.25,21.25,19.944767000000002,1070900
1998-02-11,21.5,21.875,21.5,21.75,20.414051,459200
1998-02-12,21.5,22.5,21.5,22.5,21.117987,1194400
1998-02-13,22.5,24.75,22.5,24.375,22.877819,2201200
1998-02-17,23.875,24.375,23.875,24.0,22.525854000000002,763800
1998-02-18,23.9375,24.5,23.875,24.5,22.995138,992900
1998-02-19,24.3125,24.75,24.3125,24.5,22.995138,509300
1998-02-20,26.0,26.125,25.0625,25.3125,23.757732,1709700
1998-02-23,25.3125,25.4375,25.0,25.4375,23.875053,534400
1998-02-24,25.3125,25.625,25.125,25.375,23.816395,337600
1998-02-25,25.5,25.75,25.0,25.125,23.581749,703700
1998-02-26,25.0,25.6875,25.0,25.4375,23.875053,691600
1998-02-27,25.4375,25.75,25.1875,25.4375,23.875053,531400
1998-03-02,25.625,25.75,25.0625,25.3125,23.757732,292100
1998-03-03,25.5,25.8125,25.375,25.6875,24.109695000000002,703600
1998-03-04,25.1875,25.5,25.0625,25.25,23.699074,570900
1998-03-05,25.125,25.3125,25.0,25.125,23.581749,770800
1998-03-06,25.0,25.375,24.9375,25.0625,23.52309,530700
1998-03-09,25.1875,25.3125,25.0625,25.1875,23.640409,455200
1998-03-10,25.8125,26.0625,25.625,25.9375,24.344351,1461600
1998-03-11,26.0,26.5,25.9375,26.375,24.754972,1407500
1998-03-12,26.1875,26.25,26.0,26.0625,24.461662,375100
1998-03-13,26.0625,26.375,26.0,26.375,24.754972,720400
1998-03-16,26.375,26.4375,25.875,25.875,24.285681,565700
1998-03-17,26.0,26.0625,25.75,25.8125,24.227018,625000
1998-03-18,25.8125,25.875,25.3125,25.8125,24.227018,526100
1998-03-19,25.8125,26.0,25.5,25.5625,23.992376,435700
1998-03-20,25.6875,25.875,25.375,25.375,23.816395,570300
1998-03-23,25.25,25.8125,25.25,25.75,24.16836,198200
1998-03-24,25.625,25.9375,25.625,25.75,24.16836,207900
1998-03-25,25.9375,25.9375,25.125,25.5,23.933718,561800
1998-03-26,25.375,25.75,24.875,24.875,23.347109,651700
1998-03-27,24.9375,25.0,24.5625,24.625,23.112467000000002,709100
1998-03-30,24.875,25.5625,24.875,25.0625,23.52309,624200
1998-03-31,25.25,25.3125,24.75,24.8125,23.288448000000002,431500
1998-04-01,25.125,25.625,25.0625,25.125,23.581749,519800
1998-04-02,25.125,26.0,24.5,25.75,24.16836,1428200
1998-04-03,25.875,26.0625,25.5625,26.0,24.403008,650100
1998-04-06,26.0,26.375,25.75,25.75,24.16836,511500
1998-04-07,25.9375,25.9375,24.9375,25.3125,23.757732,362800
1998-04-08,25.4375,26.75,25.4375,26.5,24.872295,1123100
1998-04-09,26.5,27.5,26.375,26.9375,25.282919,1203600
1998-04-13,26.9375,27.125,26.625,26.875,25.224257,618100
1998-04-14,26.8125,27.0,26.5,26.6875,25.048277,337800
1998-04-15,27.125,28.0,27.125,27.625,25.928196,825000
1998-04-16,27.5625,27.5625,26.0,26.625,24.989616,363200
1998-04-17,26.625,27.0625,26.3125,27.0625,25.400246,336100
1998-04-20,27.0,27.3125,26.875,27.0625,25.400246,233200
1998-04-21,27.0625,27.375,27.0,27.125,25.458904,235800
1998-04-22,27.375,28.0625,27.375,27.8125,26.104177,452700
1998-04-23,27.625,27.75,26.0,26.0625,24.461662,458900
1998-04-24,26.0625,27.1875,25.875,26.1875,24.578986999999998,391700
1998-04-27,25.8125,25.8125,24.8125,25.0,23.464423999999998,361600
1998-04-28,25.9375,26.25,25.125,26.0,24.403008,699800
1998-04-29,26.0,26.0625,25.0,25.625,24.051037,670700
1998-04-30,25.8125,27.0,25.75,27.0,25.341576,447400
1998-05-01,27.125,27.125,26.5,26.625,24.989616,164000
1998-05-04,26.375,26.5,25.75,26.0,24.403008,423900
1998-05-05,25.6875,26.625,25.6875,26.5625,24.930951999999998,225200
1998-05-06,26.75,26.75,25.875,26.25,24.637651,522300
1998-05-07,26.25,26.5,26.125,26.5,24.872295,329500
1998-05-08,26.5,27.0625,26.0625,26.5,24.872295,515800
1998-05-11,26.5,26.5,25.9375,25.9375,24.344351,109700
1998-05-12,25.9375,25.9375,25.4375,25.875,24.285681,727500
1998-05-13,25.8125,26.3125,25.75,26.125,24.520326999999998,434200
1998-05-14,26.0,26.625,25.8125,26.5625,24.930951999999998,444000
1998-05-15,26.75,27.125,26.5,26.6875,25.048277,505300
1998-05-18,26.75,26.875,25.8125,26.0625,24.461662,589900
1998-05-19,25.875,25.9375,25.25,25.375,23.816395,1051300
1998-05-20,24.875,25.6875,24.8125,24.9375,23.405766,664600
1998-05-21,25.5625,26.25,25.5625,26.25,24.637651,664900
1998-05-22,26.4375,26.5,25.8125,26.0625,24.461662,538200
1998-05-26,26.0,26.625,26.0,26.25,24.637651,969600
1998-05-27,25.75,26.375,25.625,26.25,24.637651,2037200
1998-05-28,28.125,30.3125,28.0625,29.875,28.039990999999997,12237800
1998-05-29,30.75,31.1875,30.5,31.0625,29.154549,6033900
1998-06-01,30.0,30.75,30.0,30.6875,28.802584000000003,2310700
1998-06-02,30.625,30.625,29.5,29.9375,28.09865,2816400
1998-06-03,29.75,30.5,29.75,30.125,28.274637,2579500
1998-06-04,29.625,30.125,29.625,30.0625,28.215972999999998,1464200
1998-06-05,30.0,30.625,29.9375,30.25,28.391956,1404700
1998-06-08,30.25,30.6875,30.125,30.4375,28.567936,832600
1998-06-09,30.1875,30.625,30.1875,30.5,28.6266,1692700
1998-06-10,30.4375,31.125,30.4375,30.5625,28.685260999999997,1522400
1998-06-11,30.5,30.9375,30.5,30.75,28.861241999999997,961300
1998-06-12,30.5,30.8125,30.4375,30.8125,28.919907000000002,812400
1998-06-15,30.625,30.75,30.3125,30.3125,28.450615000000003,1063600
1998-06-16,30.375,30.375,29.625,29.8125,27.981329,2271800
1998-06-17,30.0625,30.5625,30.0,30.4375,28.567936,1409900
1998-06-18,30.25,31.0,30.25,30.875,28.978561,1221000
1998-06-19,30.125,30.875,30.125,30.5,28.6266,772300
1998-06-22,30.4375,30.5,29.8125,30.0,28.15731,732300
1998-06-23,30.0,30.0625,29.6875,29.6875,27.864008000000002,1211300
1998-06-24,29.5,30.5,29.375,30.125,28.274637,2157700
1998-06-25,30.0,31.0,30.0,30.8125,28.919907000000002,965900
1998-06-26,31.0625,31.875,30.875,31.5,29.565178000000003,1068000
1998-06-29,31.3125,31.9375,31.3125,31.6875,29.741159000000003,643300
1998-06-30,30.75,31.25,30.5,31.1875,29.271872,1183900
1998-07-01,31.1875,32.125,31.125,31.875,29.917140999999997,1235700
1998-07-02,31.875,31.9375,31.5,31.625,29.682501000000002,985300
1998-07-06,31.625,31.8125,31.4375,31.4375,29.506519,359100
1998-07-07,31.625,31.75,31.375,31.5,29.565178000000003,1053100
1998-07-08,31.5,31.6875,31.4375,31.5625,29.623838,661200
1998-07-09,31.375,31.5625,31.0625,31.1875,29.271872,517600
1998-07-10,31.25,31.3125,30.5,30.9375,29.037231,664100
1998-07-13,30.5,30.6875,30.125,30.1875,28.333294,919700
1998-07-14,30.25,30.5,30.0625,30.1875,28.333294,744000
1998-07-15,30.0625,30.25,29.625,29.625,27.805342,983500
1998-07-16,28.75,30.0,28.75,30.0,28.15731,1653500
1998-07-17,30.0,30.125,29.625,29.75,27.92267,875100
1998-07-20,29.8125,29.8125,29.3125,29.4687,27.658644,784900
1998-07-21,29.3125,29.5625,28.5,28.5,26.749449,536400
1998-07-22,28.375,28.6875,27.6875,28.125,26.397484000000002,1235800
1998-07-23,28.125,28.125,26.9375,27.0,25.341576,1353100
1998-07-24,27.0,27.75,26.8125,26.9375,25.282919,1554500
1998-07-27,27.0,28.0,26.9375,27.25,25.576227,1255200
1998-07-28,27.5,27.75,27.125,27.5625,25.869532,1061200
