Date,Open,High,Low,Close,Adj Close,Volume
1998-01-02,4.6875,4.71875,4.640625,4.65625,3.8876480000000004,110000
1998-01-05,4.6875,4.71875,4.625,4.671875,3.900695,324400
1998-01-06,4.671875,4.6875,4.59375,4.6875,3.913739,396000
1998-01-07,4.6875,4.6875,4.5625,4.578125,3.8224199999999997,370400
1998-01-08,4.59375,4.59375,4.5625,4.59375,3.835464,362800
1998-01-09,4.53125,4.578125,4.375,4.375,3.652824,880000
1998-01-12,4.4375,4.4375,4.34375,4.375,3.652824,155200
1998-01-13,4.375,4.5,4.375,4.4375,3.7050059999999996,323200
1998-01-14,4.4375,4.5,4.40625,4.4375,3.7050059999999996,639200
1998-01-15,4.5,4.5,4.40625,4.421875,3.691961,164400
1998-01-16,4.484375,4.5,4.40625,4.5,3.757191,460800
1998-01-20,4.5,4.5625,4.484375,4.515625,3.770235,310400
1998-01-21,4.53125,4.625,4.46875,4.46875,3.731097,219600
1998-01-22,4.46875,4.625,4.4375,4.546875,3.796327,786400
1998-01-23,4.625,4.625,4.546875,4.578125,3.8224199999999997,287600
1998-01-26,4.53125,4.625,4.53125,4.578125,3.8224199999999997,274800
1998-01-27,4.5625,5.03125,4.5625,4.875,4.070289,1226400
1998-01-28,4.9375,6.0625,4.9375,5.96875,4.983496,4119600
1998-01-29,5.71875,5.9375,5.40625,5.4375,4.5399389999999995,2942800
1998-01-30,5.4375,5.609375,5.28125,5.5,4.602702,760000
1998-02-02,5.625,6.0625,5.5625,6.0,5.021131,2404800
1998-02-03,5.9375,6.375,5.84375,6.28125,5.256494,2460000
1998-02-04,6.25,6.65625,5.96875,6.5,5.439556,4602800
1998-02-05,6.53125,6.78125,6.5,6.65625,5.570316,3106400
1998-02-06,6.625,6.625,6.28125,6.296875,5.269572,1994400
1998-02-09,6.40625,6.6875,6.34375,6.625,5.544163,3715200
1998-02-10,6.625,6.6875,6.46875,6.59375,5.518012000000001,1552400
1998-02-11,6.53125,6.65625,6.4375,6.59375,5.518012000000001,960000
1998-02-12,6.53125,6.84375,6.53125,6.734375,5.635695,2300800
1998-02-13,6.71875,6.8125,6.6875,6.75,5.64877,1340400
1998-02-17,6.75,6.796875,6.4375,6.4375,5.387251999999999,516000
1998-02-18,6.4375,6.6875,6.4375,6.5625,5.491861,819600
1998-02-19,6.53125,6.5625,6.3125,6.359375,5.321873,625200
1998-02-20,6.34375,6.65625,6.3125,6.40625,5.361102,1089200
1998-02-23,6.375,6.5625,6.375,6.5,5.439556,279600
1998-02-24,6.46875,6.5,6.0625,6.28125,5.256494,983200
1998-02-25,6.25,6.5625,6.25,6.453125,5.400329,1115200
1998-02-26,6.4375,6.71875,6.40625,6.65625,5.570316,466000
1998-02-27,6.734375,6.9375,6.65625,6.6875,5.596468,904000
1998-03-02,6.71875,7.0,6.65625,6.71875,5.622619,1394800
1998-03-03,6.65625,6.75,6.5,6.75,5.64877,527600
1998-03-04,6.625,6.734375,6.5,6.71875,5.622619,300000
1998-03-05,6.625,6.75,6.5625,6.59375,5.518012000000001,1296800
1998-03-06,6.5625,7.015625,6.5625,7.015625,5.871061,587200
1998-03-09,6.921875,7.125,6.890625,6.890625,5.766454,1224400
1998-03-10,6.96875,6.984375,6.671875,6.75,5.64877,1421200
1998-03-11,6.71875,6.9453,6.71875,6.875,5.753379,1023600
1998-03-12,6.84375,7.0,6.78125,6.90625,5.779529,1329200
1998-03-13,6.875,6.9375,6.78125,6.78125,5.674923000000001,876800
1998-03-16,6.78125,7.125,6.78125,7.09375,5.93644,303600
1998-03-17,7.40625,7.65625,7.1875,7.453125,6.2371870000000005,3237200
1998-03-18,7.453125,7.59375,7.4375,7.5,6.276414,582800
1998-03-19,7.5,7.5,7.40625,7.40625,6.197957,1192400
1998-03-20,7.484375,7.5625,7.4375,7.4375,6.224108,696400
1998-03-23,7.40625,7.40625,7.0625,7.09375,5.93644,420000
1998-03-24,7.03125,7.28125,7.03125,7.25,6.067198,327600
1998-03-25,7.21875,7.25,7.03125,7.109375,5.949515,1623200
1998-03-26,7.15625,7.15625,7.09375,7.09375,5.93644,156400
1998-03-27,7.125,7.125,7.09375,7.09375,5.93644,141200
1998-03-30,7.125,7.1875,7.09375,7.125,5.962593,1096000
1998-03-31,7.0625,7.1875,7.0625,7.109375,5.949515,421600
1998-04-01,7.109375,7.21875,7.078125,7.140625,5.975666,1173200
1998-04-02,7.09375,7.515625,7.09375,7.328125,6.132578,1084800
1998-04-03,7.328125,7.375,7.3125,7.3125,6.119502,474800
1998-04-06,7.25,7.375,7.09375,7.09375,5.93644,856800
1998-04-07,7.125,7.125,6.929675,6.9453,5.812209999999999,370400
1998-04-08,6.90625,7.09375,6.90625,6.9375,5.805682,286000
1998-04-09,6.9375,7.09375,6.9375,7.0,5.857984,815600
1998-04-13,7.09375,7.25,7.015625,7.140625,5.975666,1248800
1998-04-14,7.25,7.34375,7.15625,7.21875,6.0410449999999996,767600
1998-04-15,7.6875,7.796875,7.5,7.5625,6.328717,4514400
1998-04-16,7.5,7.578125,7.34375,7.34375,6.145654,604000
1998-04-17,7.328125,7.4375,7.3125,7.4375,6.224108,172000
1998-04-20,7.46875,7.8125,7.453125,7.75,6.485626,2251600
1998-04-21,7.78125,8.34375,7.78125,8.34375,6.982506,2212800
1998-04-22,8.34375,8.4375,8.09375,8.109375,6.786371000000001,1101200
1998-04-23,8.1875,8.1875,7.96875,8.0,6.694839,1111600
1998-04-24,8.0,8.09375,7.96875,8.03125,6.720992999999999,527600
1998-04-27,7.96875,7.96875,7.6875,7.796875,6.524854,314400
1998-04-28,7.875,7.9375,7.8125,7.9375,6.642537,290000
1998-04-29,7.96875,8.265625,7.875,8.125,6.810173,390800
1998-04-30,8.09375,8.1875,7.875,8.0,6.7054,255200
1998-05-01,8.03125,8.1875,7.984375,8.078125,6.770884,317200
1998-05-04,8.125,8.125,7.9375,8.0,6.7054,234000
1998-05-05,7.984375,7.984375,7.875,7.90625,6.626822,252800
1998-05-06,7.96875,7.96875,7.6875,7.71875,6.469663,489200
1998-05-07,7.75,7.75,7.390625,7.40625,6.207733999999999,363600
1998-05-08,7.40625,7.53125,7.3125,7.375,6.181541,696800
1998-05-11,7.4375,7.5625,7.28125,7.28125,6.102962000000001,732800
1998-05-12,7.25,7.46875,7.25,7.34375,6.155346,550800
1998-05-13,7.375,7.5625,7.28125,7.53125,6.312506,514400
1998-05-14,7.546875,7.59375,7.46875,7.46875,6.260118,365600
1998-05-15,7.46875,7.53125,7.390625,7.5,6.286314,95200
1998-05-18,7.5,7.6875,7.21875,7.375,6.181541,1266000
1998-05-19,7.375,7.5625,7.359375,7.484375,6.273214,1387200
1998-05-20,7.4375,7.453125,7.3125,7.421875,6.2208309999999996,607600
1998-05-21,7.4375,7.46875,7.34375,7.34375,6.155346,110400
1998-05-22,7.4375,7.4375,7.3125,7.3125,6.129156,512800
1998-05-26,7.3125,7.34375,7.15625,7.1875,6.024383,1465200
1998-05-27,7.125,7.21875,7.0625,7.21875,6.050575,1971200
1998-05-28,7.140625,7.53125,7.140625,7.46875,6.260118,2778400
1998-05-29,7.5,7.515625,7.4375,7.484375,6.273214,404000
1998-06-01,7.5,7.59375,7.46875,7.5625,6.338698,591200
1998-06-02,7.53125,7.640625,7.4375,7.5,6.286314,651600
1998-06-03,7.453125,7.578125,7.453125,7.53125,6.312506,95200
1998-06-04,7.5,7.625,7.5,7.625,6.391083,368000
1998-06-05,7.59375,7.65625,7.5625,7.625,6.391083,792800
1998-06-08,7.59375,7.625,7.5,7.53125,6.312506,314800
1998-06-09,7.5625,7.5625,7.484375,7.484375,6.273214,320400
1998-06-10,7.515625,7.53125,7.4375,7.46875,6.260118,859200
1998-06-11,7.453125,7.46875,7.3125,7.375,6.181541,486800
1998-06-12,7.3125,7.34375,6.875,7.1875,6.024383,701600
1998-06-15,7.09375,7.5,7.0625,7.21875,6.050575,1152000
1998-06-16,7.28125,7.40625,7.25,7.34375,6.155346,464000
1998-06-17,7.34375,7.34375,7.1875,7.34375,6.155346,454800
1998-06-18,7.34375,7.40625,7.28125,7.28125,6.102962000000001,391600
1998-06-19,7.3125,7.3125,7.015625,7.03125,5.893419000000001,297600
1998-06-22,7.0,7.46875,7.0,7.46875,6.260118,414800
1998-06-23,7.46875,7.84375,7.375,7.84375,6.574435,826400
1998-06-24,7.71875,7.875,7.65625,7.84375,6.574435,3360400
1998-06-25,7.875,8.1875,7.84375,8.171875,6.8494600000000005,4858000
1998-06-26,8.46875,8.875,8.421875,8.859375,7.425708,1857600
1998-06-29,8.875,8.96875,8.8125,8.96875,7.51738,1344400
1998-06-30,8.96875,9.03125,8.890625,8.90625,7.464996000000001,1162400
1998-07-01,8.875,9.4375,8.84375,9.375,7.857892999999999,3092800
1998-07-02,9.34375,9.375,9.25,9.25,7.753118,782400
