Date,Open,High,Low,Close,Adj Close,Volume
1998-01-02,62.5,62.875,61.75,62.875,29.964396999999998,155900
1998-01-05,62.0,62.0,60.0,61.5,29.309103000000004,352800
1998-01-06,61.0,62.75,60.5,62.375,29.72611,213800
1998-01-07,62.375,64.0,60.625,61.625,29.368678999999997,222900
1998-01-08,61.5,61.5,59.0,59.75,28.475109000000003,199900
1998-01-09,59.0,59.0,56.0,56.25,26.807109999999998,319700
1998-01-12,52.5,56.5,52.5,56.25,26.807109999999998,195000
1998-01-13,56.375,58.5,55.25,58.0,27.641115000000003,118300
1998-01-14,58.5,60.75,58.5,59.375,28.296397999999996,148500
1998-01-15,59.375,59.375,56.187401,56.875,27.104967,192600
1998-01-16,57.25,59.25,57.25,58.5,27.879395000000002,121600
1998-01-20,59.0,59.5,57.75,58.875,28.058107,171800
1998-01-21,58.875,58.875,56.375,57.625,27.462393,115400
1998-01-22,57.125,57.375,55.875,56.0,26.687966999999997,50800
1998-01-23,56.0,56.5,54.5,55.125,26.270967,144000
1998-01-26,55.25,55.5,53.75,54.0,25.734825,135000
1998-01-27,53.75,57.0,53.75,57.0,27.164543,325200
1998-01-28,56.375,57.625,56.0,57.5,27.402828000000003,174000
1998-01-29,57.25,59.75,57.0,58.75,27.998539,509200
1998-01-30,59.25,60.375,59.25,60.0,28.594252,191800
1998-02-02,60.125,63.5,60.125,63.25,30.143105,269700
1998-02-03,63.75,65.25,61.0,61.125,29.1304,511800
1998-02-04,61.0,61.875,60.5,61.5,29.309103000000004,271200
1998-02-05,61.0,62.625,61.0,62.125,29.606964,251000
1998-02-06,62.25,64.0,62.125,63.125,30.083536,251800
1998-02-09,63.375,63.5,61.5,62.125,29.606964,117800
1998-02-10,62.375,64.0,62.0,64.0,30.500528000000003,236700
1998-02-11,64.5,67.125,64.5,65.625,31.274965,419200
1998-02-12,65.75,69.25,65.75,68.875,32.82383,825600
1998-02-13,68.875,68.875,67.125,67.25,32.049389,442900
1998-02-17,67.125,67.875,66.875,67.625,32.228107,127100
1998-02-18,67.125,68.0,67.125,67.375,32.146976,74300
1998-02-19,70.0,70.0,68.875,69.875,33.339825,454100
1998-02-20,70.0,70.75,69.0,69.25,33.041615,258200
1998-02-23,70.25,73.375,70.25,73.25,34.950171999999995,472300
1998-02-24,72.75,73.625,71.875,72.875,34.771233,308000
1998-02-25,73.75,74.875,73.125,74.25,35.427299,977300
1998-02-26,74.0,74.625,73.75,74.375,35.486938,858500
1998-02-27,74.375,74.375,73.75,74.375,35.486938,154800
1998-03-02,74.125,75.625,74.0,74.875,35.725502,166400
1998-03-03,74.625,75.25,74.0,74.625,35.606224,146600
1998-03-04,74.375,75.375,74.125,74.875,35.725502,324700
1998-03-05,74.25,74.625,73.625,74.0,35.308018,87300
1998-03-06,75.5,76.5,75.25,75.75,36.142998,415100
1998-03-09,76.25,77.5,76.0,76.375,36.441204,167800
1998-03-10,76.0,76.75,76.0,76.5,36.500858,175500
1998-03-11,77.5,78.0,76.25,76.375,36.441204,243500
1998-03-12,76.5,77.75,76.5,77.0,36.739418,2074400
1998-03-13,77.0,77.5,75.875,76.25,36.381572999999996,501400
1998-03-16,76.375,76.875,75.5,76.0,36.262283000000004,977400
1998-03-17,76.125,81.75,76.125,81.0,38.647953,1703000
1998-03-18,80.875,83.25,79.0,81.5,38.886532,347900
1998-03-19,81.5,84.25,81.25,84.0,40.079357,355800
1998-03-20,87.75,87.75,86.625,87.5,41.749328999999996,578500
1998-03-23,86.5,86.5,84.5,85.375,40.735432,305600
1998-03-24,85.75,87.375,85.0,87.125,41.570403999999996,281300
1998-03-25,87.5,88.5,86.25,87.5,41.749328999999996,465400
1998-03-26,87.875,88.75,85.25,88.75,42.345753,169300
1998-03-27,88.875,90.625,87.5,90.0,42.942181,464800
1998-03-30,90.5,92.0,89.5,90.125,43.001827,562100
1998-03-31,90.25,90.625,87.25,88.0,41.987885,229600
1998-04-01,89.25,89.25,86.75,88.25,42.107189,243400
1998-04-02,85.5,90.75,85.25,90.75,43.30003,807200
1998-04-03,90.875,92.5,89.0,91.5,43.657883,221200
1998-04-06,91.5,96.0,91.5,94.625,45.148933,487400
1998-04-07,94.25,97.75,94.25,96.0,45.804989,571300
1998-04-08,95.5,95.75,92.75,93.125,44.433234999999996,245200
1998-04-09,93.125,97.0,92.75,96.5,46.043549,318700
1998-04-13,96.5,99.0,96.0,98.75,47.117107,484500
1998-04-14,98.5,99.25,97.75,99.125,47.296032000000004,224600
1998-04-15,98.875,99.0,94.375,96.125,45.864632,163200
1998-04-16,96.625,96.625,92.25,92.875,44.31395,194700
1998-04-17,92.5,96.0,92.25,95.625,45.626064,163000
1998-04-20,96.0,96.0,93.25,94.375,45.029644,104000
1998-04-21,94.25,94.5,90.5,91.5,43.657883,166400
1998-04-22,91.75,93.625,91.125,92.375,44.075375,130000
1998-04-23,92.625,93.5,89.5,90.375,43.121101,98800
1998-04-24,90.625,93.875,89.125,89.5,42.703609,213700
1998-04-27,87.5,89.375,86.0,89.25,42.584332,178400
1998-04-28,88.75,91.0,88.75,90.75,43.30003,242300
1998-04-29,90.75,90.75,89.375,90.125,43.001827,98900
1998-04-30,90.625,91.5,90.375,90.375,43.121101,117700
1998-05-01,90.125,91.375,89.875,91.25,43.538596999999996,128400
1998-05-04,91.0,94.625,91.0,94.625,45.148933,232100
1998-05-05,94.625,95.125,93.125,93.5,44.612137,92300
1998-05-06,93.0,93.25,91.125,91.25,43.538596999999996,53600
1998-05-07,89.75,90.0,89.0,90.0,42.942181,121100
1998-05-08,89.25,90.625,89.25,89.75,42.822891,75900
1998-05-11,90.0,90.75,88.75,89.375,42.643966999999996,58600
1998-05-12,89.125,89.25,87.125,87.75,41.86861,143700
1998-05-13,87.75,91.5,87.625,90.375,43.121101,134000
1998-05-14,90.125,91.0,89.5,89.75,42.822891,83400
1998-05-15,89.375,89.875,88.375,89.125,42.524689,105200
1998-05-18,88.75,90.0,88.125,88.375,42.166832,53400
1998-05-19,88.25,89.625,88.25,89.25,42.584332,67900
1998-05-20,89.375,89.375,88.125,88.75,42.383751000000004,188800
