Date,Open,High,Low,Close,Adj Close,Volume
1998-01-02,69.375,69.875,67.5,68.9375,37.723228000000006,1319400
1998-01-05,70.0,71.9375,69.3125,71.9375,39.364838,3112700
1998-01-06,71.6875,72.375,70.0,70.6875,38.680832,2331500
1998-01-07,69.75,70.125,68.4375,69.3125,37.928425,1840900
1998-01-08,68.5625,69.6875,68.0625,68.5,37.483814,1772300
1998-01-09,67.9375,67.9375,64.375,66.625,36.457806,2299900
1998-01-12,64.75,69.0,64.5625,68.25,37.347015,2948500
1998-01-13,68.1875,68.625,66.625,67.9375,37.176014,2320000
1998-01-14,68.0,68.375,66.625,68.375,37.415409000000004,1635400
1998-01-15,68.125,68.1875,66.625,67.0,36.663013,1534700
1998-01-16,67.3125,67.875,66.25,67.0,36.663013,2777800
1998-01-20,68.625,70.25,68.1875,69.625,38.099419,2872900
1998-01-21,69.5625,69.5625,68.0,69.3125,37.928425,1960300
1998-01-22,68.5,69.0625,67.875,67.875,37.141804,2011300
1998-01-23,68.0,68.375,66.375,66.875,36.594601000000004,2394200
1998-01-26,67.0,67.8125,66.3125,66.3125,36.286797,1432700
1998-01-27,66.375,67.5,66.375,66.375,36.320995,2455700
1998-01-28,67.0,68.4375,67.0,68.125,37.278599,2428300
1998-01-29,67.5,68.75,67.125,67.9375,37.176014,3348600
1998-01-30,68.5,68.5625,67.0625,67.625,37.005013,2391500
1998-02-02,71.375,71.6875,69.125,69.375,37.962635,4901300
1998-02-03,68.5,69.4375,67.75,68.75,37.62064,2693600
1998-02-04,68.5,68.5,67.1875,68.375,37.415409000000004,2139100
1998-02-05,68.9375,68.9375,66.5625,66.6875,36.492004,3017900
1998-02-06,67.3125,67.8125,66.625,66.75,36.526215,3191500
1998-02-09,66.9375,66.9375,64.5,65.0,35.568588,4221200
1998-02-10,64.375,66.4375,62.625,63.5,34.747768,6182100
1998-02-11,63.625,66.125,63.5625,66.125,36.298519,6795800
1998-02-12,65.0,65.8125,64.0625,64.6875,35.509426,4074900
1998-02-13,64.0,64.9375,63.25,63.6875,34.960476,4315700
1998-02-17,62.0,62.125,60.4375,61.75,33.896923,11597700
1998-02-18,60.625,61.0625,59.5,60.0,32.936271999999995,13625700
1998-02-19,60.5,61.4375,60.25,60.4375,33.176434,10639300
1998-02-20,61.0625,62.4375,60.75,61.625,33.828285,9184900
1998-02-23,62.9375,64.9375,62.75,64.8125,35.578033000000005,8460700
1998-02-24,63.1875,65.4375,63.125,63.9375,35.097725,5813500
1998-02-25,65.6875,65.75,64.5625,65.375,35.886818,3799400
1998-02-26,65.6875,65.9375,64.8125,65.4375,35.921124,2919300
1998-02-27,65.9375,66.1875,65.0,65.8125,36.126976,2451500
1998-03-02,65.8125,66.3125,64.4375,65.0,35.680977,2579000
1998-03-03,64.6875,64.8125,63.8125,64.375,35.337891,3062400
1998-03-04,63.6875,64.0,62.75,62.75,34.445873,3756800
1998-03-05,62.5,64.5,62.5,64.375,35.337891,2978900
1998-03-06,65.25,66.1875,65.0625,66.125,36.298519,3152700
1998-03-09,66.125,66.5,64.1875,64.625,35.475105,2346200
1998-03-10,66.4375,66.875,65.8125,66.4375,36.470062,3478900
1998-03-11,66.6875,67.125,65.875,66.375,36.435757,2925900
1998-03-12,66.75,66.75,65.375,65.5625,35.989742,1925800
1998-03-13,66.0,66.6875,65.4375,65.5,35.955428999999995,2383700
1998-03-16,65.75,67.4375,65.6875,67.4375,37.019009000000004,2629200
1998-03-17,67.25,67.4375,65.6875,66.125,36.298519,2472700
1998-03-18,66.0625,66.8125,65.3125,65.5625,35.989742,1728000
1998-03-19,65.8125,66.875,65.5,66.1875,36.332832,1861500
1998-03-20,66.625,66.6875,65.25,65.25,35.818218,2804600
1998-03-23,65.0,65.0,63.0625,63.5,34.857552,3583900
1998-03-24,63.5625,63.8125,62.0625,62.5,34.30862,4675200
1998-03-25,60.75,61.375,59.875,61.25,33.622459,7936900
1998-03-26,60.5625,61.1875,60.3125,60.625,33.279365999999996,4765200
1998-03-27,60.5625,61.1875,60.0625,60.1875,33.039211,4184000
1998-03-30,60.3125,60.4375,57.6875,58.25,31.975635999999998,7312100
1998-03-31,59.25,59.875,58.6875,59.625,32.730422999999995,5751900
1998-04-01,60.0,60.9375,58.8125,59.4375,32.627495,5719700
1998-04-02,59.8125,60.0,58.875,59.75,32.799042,3619100
1998-04-03,60.125,60.1875,58.4375,58.5625,32.147194,4390700
1998-04-06,58.875,61.75,57.875,61.125,33.553829,9356100
1998-04-07,61.875,64.875,61.75,63.875,35.063408,9822100
1998-04-08,65.625,66.125,64.5625,65.0,35.680977,6771100
1998-04-09,65.375,66.0,63.4375,63.9375,35.097725,2881900
1998-04-13,64.0,64.0625,62.4375,63.625,34.926167,2125300
1998-04-14,64.4375,64.5,63.5,64.3125,35.303574,1910900
1998-04-15,64.4375,65.75,63.875,64.75,35.543735999999996,3290000
1998-04-16,64.75,64.75,62.3125,63.25,34.720345,2889500
1998-04-17,64.875,69.25,64.625,68.375,37.533646000000005,8358300
1998-04-20,71.625,73.75,70.125,72.1875,39.626446,9805100
1998-04-21,72.5,73.625,71.5625,72.1875,39.626446,5051600
1998-04-22,72.0625,72.3125,70.6875,71.4375,39.214764,3663600
1998-04-23,71.375,71.375,69.875,70.5,38.700111,2740700
1998-04-24,70.0625,70.375,69.6875,70.0,38.425655,2756800
1998-04-27,69.0,69.0625,66.625,67.625,37.121925,3402200
1998-04-28,69.125,69.125,68.0,68.875,37.808098,2331500
1998-04-29,69.75,69.75,67.625,68.5,37.602253000000005,1743100
1998-04-30,69.4375,70.5,68.5,69.5625,38.185478,2255200
1998-05-01,67.125,67.75,66.0,66.3125,36.401451,4546800
1998-05-04,67.0,68.375,66.875,67.0,36.778843,2870100
1998-05-05,66.75,67.0625,65.375,66.3125,36.401451,2309300
1998-05-06,67.4375,67.4375,65.625,66.0625,36.264221,2852700
1998-05-07,66.0,66.5,65.5625,66.125,36.298519,2301400
1998-05-08,66.6875,67.125,66.1875,67.0,36.778843,2047700
1998-05-11,67.0625,67.4375,65.9375,66.1875,36.332832,2596000
1998-05-12,66.25,66.8125,65.5625,66.5625,36.538681,1989200
1998-05-13,68.4375,69.0,67.625,68.625,37.784389000000004,3415400
1998-05-14,68.875,69.0,67.9375,68.0,37.440284999999996,2820000
1998-05-15,68.6875,69.9375,68.1875,68.4375,37.68116,3686500
1998-05-18,70.0,70.625,68.1875,69.75,38.403801,4252900
1998-05-19,69.875,70.625,67.1875,67.4375,37.130569,2881600
1998-05-20,68.125,68.75,67.75,68.3125,37.612343,2242800
1998-05-21,68.5625,68.5625,66.125,67.0625,36.924099,1471400
1998-05-22,66.625,66.8125,66.0,66.0,36.339104,1536200
1998-05-26,66.75,66.75,64.0625,64.125,35.306736,2150600
1998-05-27,63.4375,65.0,63.0,64.875,35.719677000000004,3837300
1998-05-28,65.0,66.0,63.1875,63.5,34.962612,4759800
1998-05-29,63.9375,64.0,61.3125,61.375,33.792614,6591000
1998-06-01,61.4375,62.4375,61.0625,61.4375,33.827011,3459200
1998-06-02,61.75,61.875,60.5625,60.625,33.379658,4501100
1998-06-03,61.25,62.125,60.9375,61.125,33.654953000000006,3253600
1998-06-04,61.25,62.0625,60.625,61.9375,34.102299,2645200
1998-06-05,63.4375,63.75,62.625,63.75,35.100262,3438900
1998-06-08,63.9375,64.3125,63.6875,63.9375,35.203495000000004,2691000
1998-06-09,63.75,64.25,63.3125,64.0,35.237907,2466500
1998-06-10,64.25,64.875,63.3125,63.375,34.893791,2828500
1998-06-11,63.3125,63.8125,62.0,62.25,34.274372,2323400
1998-06-12,62.125,63.6875,62.0625,63.625,35.031437,3086800
