Date,Open,High,Low,Close,Adj Close,Volume
2006-05-25,4.03,4.605,4.02,4.6,4.364168,395343000
2006-05-26,4.63,4.674,4.411,4.493,4.262654,103044000
2006-05-30,4.497,4.498,4.285,4.4,4.174423,49898000
2006-05-31,4.435,4.536,4.435,4.494,4.263605,30002000
2006-06-01,4.493,4.81,4.49,4.751,4.507427,62344000
2006-06-02,4.85,4.87,4.679,4.699,4.458093,37253000
2006-06-05,4.705,4.925,4.7,4.915,4.663021,37188000
2006-06-06,4.998,5.063,4.78,4.83,4.582376999999999,49045000
2006-06-07,4.833,4.84,4.675,4.76,4.5159650000000005,25013000
2006-06-08,4.76,4.772,4.55,4.772,4.527349,34439000
2006-06-09,4.88,4.88,4.768,4.778,4.533044,13372000
2006-06-12,4.8,4.825,4.63,4.695,4.4542980000000005,14546000
2006-06-13,4.62,4.735,4.53,4.55,4.316733,16716000
2006-06-14,4.49,4.545,4.444,4.512,4.2806809999999995,15971000
2006-06-15,4.54,4.612,4.513,4.595,4.359425,16500000
2006-06-16,4.55,4.6,4.5,4.502,4.271191,12280000
2006-06-19,4.545,4.545,4.41,4.434,4.20668,11509000
2006-06-20,4.474,4.5,4.347,4.402,4.176318,23792000
2006-06-21,4.402,4.588,4.4,4.53,4.297758,18063000
2006-06-22,4.64,4.695,4.588,4.66,4.421092,13038000
2006-06-23,4.699,4.793,4.687,4.695,4.4542980000000005,11612000
2006-06-26,4.695,4.75,4.643,4.75,4.506480000000001,8565000
2006-06-27,4.75,4.803,4.725,4.731,4.488451,9826000
2006-06-28,4.685,4.74,4.65,4.696,4.455245,8756000
2006-06-29,4.695,4.809,4.695,4.8,4.553915,14470000
2006-06-30,4.765,4.8,4.66,4.8,4.553915,25964000
2006-07-03,4.79,4.8,4.681,4.73,4.487504,7029000
2006-07-05,4.74,4.784,4.671,4.76,4.5159650000000005,13266000
2006-07-06,4.725,4.735,4.679,4.68,4.440067,8097000
2006-07-07,4.675,4.685,4.575,4.612,4.375555,8380000
2006-07-10,4.62,4.657,4.612,4.649,4.410657,4978000
