Date,Open,High,Low,Close,Adj Close,Volume
1998-01-02,30.8125,30.9375,30.0312,30.25,19.056383,585200
1998-01-05,30.75,31.0,30.625,31.0,19.52886,656800
1998-01-06,31.0,31.375,30.75,31.0,19.52886,539900
1998-01-07,31.0,31.5,30.75,31.5,19.843832,1005500
1998-01-08,31.0625,31.125,30.3125,30.75,19.371367000000003,754700
1998-01-09,30.625,30.625,29.875,30.0,18.898897,630200
1998-01-12,29.5,30.5,29.5,30.5,19.213875,1347500
1998-01-13,30.875,30.875,30.5,30.75,19.371367000000003,862100
1998-01-14,30.9375,30.9375,30.25,30.4375,19.1745,883700
1998-01-15,30.3125,30.4375,30.0,30.1875,19.017004,491100
1998-01-16,30.4375,30.5,30.0625,30.125,18.977642000000003,660800
1998-01-20,30.125,31.5,30.125,31.5,19.843832,615300
1998-01-21,31.5,31.5625,30.6875,31.375,19.765091,983900
1998-01-22,31.375,31.375,30.375,31.3125,19.725725,628500
1998-01-23,31.5625,32.0,30.625,30.9375,19.489483,673200
1998-01-26,30.9375,30.9375,30.0,30.3125,19.095758,581600
1998-01-27,30.1875,30.6875,30.1875,30.5,19.213875,521800
1998-01-28,30.3125,32.3125,30.3125,31.6875,19.961954000000002,828400
1998-01-29,31.625,32.5,31.4375,32.0,20.158819,812800
1998-01-30,31.75,32.3125,31.4375,31.5625,19.883205,631400
1998-02-02,32.0,32.5,31.8125,32.375,20.395052,493600
1998-02-03,31.9375,33.125,31.9375,33.0625,20.828154,551700
1998-02-04,31.9375,33.4375,31.9375,33.1875,21.03414,559800
1998-02-05,33.375,33.5,32.5625,33.0,20.915297,377200
1998-02-06,33.1875,33.8125,33.0,33.5625,21.271809,495000
1998-02-09,33.5,33.9375,33.0,33.9375,21.509483,546300
1998-02-10,33.6875,33.9375,33.4375,33.6875,21.351035999999997,550600
1998-02-11,33.6875,34.375,33.5625,34.375,21.786768,805900
1998-02-12,34.375,35.125,33.9375,35.0,22.182894,530800
1998-02-13,34.5,35.0,34.3125,34.75,22.024442999999998,379400
1998-02-17,34.75,35.3125,34.4375,35.3125,22.380951,538000
1998-02-18,35.6875,35.75,35.3125,35.625,22.57902,701300
1998-02-19,35.5,35.5,35.125,35.375,22.420572,634700
1998-02-20,35.5625,36.1875,35.3125,36.125,22.895922,462600
1998-02-23,36.375,36.5,35.25,35.9375,22.777088,422300
1998-02-24,35.5625,35.5625,34.6875,35.3125,22.380951,433300
1998-02-25,35.5625,35.5625,35.0,35.3125,22.380951,296200
1998-02-26,35.0625,35.375,34.375,34.8125,22.06407,1360400
1998-02-27,34.75,34.9375,34.125,34.4375,21.826384,327200
1998-03-02,34.5,34.5,34.125,34.375,21.786768,782900
1998-03-03,34.375,34.4375,34.1875,34.3125,21.747158,797400
1998-03-04,34.125,34.375,34.0,34.25,21.707542,1034700
1998-03-05,34.0625,34.25,33.9375,33.9375,21.509483,454900
1998-03-06,33.875,35.4375,33.875,35.4375,22.460175,1153700
1998-03-09,35.1875,36.0625,34.875,35.9375,22.777088,456800
1998-03-10,35.75,36.8125,35.5625,36.6875,23.252428,658500
1998-03-11,36.4375,36.75,35.9375,36.375,23.054369,438000
1998-03-12,36.375,36.75,35.75,36.5625,23.173212,465300
1998-03-13,36.5625,36.75,36.1875,36.375,23.054369,368000
1998-03-16,36.75,37.0,36.4375,37.0,23.450491,319000
1998-03-17,37.0,38.4375,37.0,38.25,24.242732999999998,831100
1998-03-18,38.1875,39.3125,38.0625,38.9375,24.678467,647700
1998-03-19,38.9375,40.0625,38.9375,40.0,25.351881,763600
1998-03-20,41.75,41.75,40.0625,40.375,25.589554,1433200
1998-03-23,39.375,40.0,38.625,39.0,24.718088,611100
1998-03-24,38.75,39.3125,38.5625,39.1875,24.836924,338900
1998-03-25,39.0625,39.1875,38.5,38.75,24.559637,1159500
1998-03-26,38.25,38.4375,37.5,37.625,23.846605,1073300
1998-03-27,37.625,38.25,37.625,37.9375,24.044662,698100
1998-03-30,37.625,37.875,37.25,37.625,23.846605,499000
1998-03-31,37.375,38.0,37.25,37.375,23.688162,1124500
1998-04-01,37.4375,37.9375,37.0,37.75,23.925832999999997,605800
1998-04-02,37.5,38.375,37.25,37.75,23.925832999999997,782000
1998-04-03,38.0,38.875,37.875,38.5,24.401192,923800
1998-04-06,38.75,39.0625,38.0,38.0,24.08428,1134100
1998-04-07,38.0,38.0625,37.0625,37.25,23.608926999999998,567000
1998-04-08,37.25,37.25,35.75,36.0625,22.856302,1140700
1998-04-09,36.25,36.375,35.25,35.625,22.57902,815000
1998-04-13,35.375,35.4375,34.6875,35.125,22.262117,898100
1998-04-14,35.125,35.5,34.625,35.0,22.182894,704900
1998-04-15,35.25,35.5,34.625,35.3125,22.380951,652500
1998-04-16,35.3125,35.4375,34.875,35.4375,22.460175,328000
1998-04-17,35.5,36.1875,35.1875,36.1875,22.935537,639700
1998-04-20,35.9375,35.9375,35.0625,35.9375,22.777088,503200
1998-04-21,35.25,35.6875,35.0625,35.1875,22.301731,440300
1998-04-22,35.1875,36.3125,35.125,36.0625,22.856302,709000
1998-04-23,35.8125,35.8125,34.8125,35.0,22.182894,390800
1998-04-24,34.75,35.0,33.625,33.625,21.311426,530200
1998-04-27,33.375,33.6875,33.0,33.1875,21.03414,753900
1998-04-28,33.4375,33.5625,32.5,32.75,20.756847,658300
1998-04-29,32.875,33.0625,32.75,32.9375,21.003956,485500
