Date,Open,High,Low,Close,Adj Close,Volume
1998-01-02,10.40625,10.53125,10.40625,10.4375,8.035416,83600
1998-01-05,10.4375,11.0,10.4375,10.90625,8.396285,300800
1998-01-06,10.84375,10.9375,10.59375,10.625,8.179761,177200
1998-01-07,10.71875,10.8125,10.4375,10.4375,8.035416,121200
1998-01-08,10.5,10.75,10.46875,10.59375,8.155706,122400
1998-01-09,10.59375,10.625,9.71875,9.84375,7.5783119999999995,213000
1998-01-12,9.8125,10.3125,9.78125,10.21875,7.867006,161800
1998-01-13,10.28125,10.28125,9.96875,10.21875,7.867006,400000
1998-01-14,10.1875,10.5,10.09375,10.5,8.139284,282000
1998-01-15,10.46875,10.5,10.34375,10.46875,8.115061,584400
1998-01-16,10.625,10.625,10.46875,10.59375,8.211955,202800
1998-01-20,10.59375,11.46875,10.59375,11.21875,8.696439999999999,677400
1998-01-21,11.34375,11.71875,11.34375,11.46875,8.890232000000001,1216600
1998-01-22,11.375,11.375,11.25,11.375,8.817557,659000
1998-01-23,11.34375,11.59375,11.28125,11.53125,8.938678999999999,505200
1998-01-26,11.5,11.90625,11.5,11.8125,9.156696,600800
1998-01-27,11.75,11.9375,11.6875,11.84375,9.18092,458400
1998-01-28,11.90625,12.3125,11.90625,12.21875,9.471606,584400
1998-01-29,12.28125,12.6875,12.0625,12.15625,9.423162,617200
1998-01-30,12.09375,12.21875,12.0,12.0625,9.350492,262400
1998-02-02,12.1875,12.3125,12.125,12.28125,9.520056,547200
1998-02-03,12.28125,12.34375,12.09375,12.28125,9.520056,485400
1998-02-04,12.1875,12.59375,12.1875,12.4375,9.641177,309800
1998-02-05,12.40625,13.21875,12.40625,12.875,9.980315,1475400
1998-02-06,12.875,13.3125,12.75,12.84375,9.956094,444400
1998-02-09,12.90625,13.09375,12.6875,12.9375,10.028765,301000
1998-02-10,13.0,13.21875,12.96875,13.0625,10.125658,430600
1998-02-11,13.0625,13.15625,12.90625,13.0,10.077209,199400
1998-02-12,13.0,13.03125,12.875,12.96875,10.052982,199200
1998-02-13,12.84375,13.03125,12.84375,12.96875,10.052982,264800
1998-02-17,12.96875,13.0625,12.9375,13.0,10.077209,643800
1998-02-18,12.9375,13.09375,12.9375,13.0,10.077209,467400
1998-02-19,13.0625,13.0625,12.8125,13.0,10.077209,219800
1998-02-20,12.9375,13.25,12.9375,13.1875,10.222553,578200
1998-02-23,13.15625,13.25,13.15625,13.21875,10.246777999999999,249800
1998-02-24,13.1875,13.46875,13.15625,13.21875,10.246777999999999,909200
1998-02-25,13.34375,13.46875,13.25,13.3125,10.319449,400000
1998-02-26,13.3125,13.46875,13.21875,13.46875,10.44057,610400
1998-02-27,13.40625,13.6875,13.34375,13.46875,10.44057,590000
1998-03-02,13.5625,13.75,13.4375,13.65625,10.585911,632600
1998-03-03,13.53125,13.625,13.5,13.5625,10.513242,212000
1998-03-04,13.65625,13.65625,13.46875,13.5,10.464796,535400
1998-03-05,13.375,13.5625,13.28125,13.40625,10.392125,543200
1998-03-06,13.375,14.0625,13.375,13.71875,10.634364999999999,629600
1998-03-09,13.65625,13.78125,13.5625,13.75,10.658586999999999,503200
1998-03-10,13.75,13.8125,13.65625,13.6875,10.610141,485600
1998-03-11,13.5625,13.84375,13.5,13.8125,10.707037,201600
1998-03-12,13.6875,14.125,13.625,13.78125,10.682812,224400
1998-03-13,13.84375,13.90625,13.75,13.84375,10.731258,98600
1998-03-16,13.875,14.25,13.875,14.0,10.85238,450400
1998-03-17,14.0625,14.0625,13.78125,14.0,10.85238,130200
1998-03-18,14.0,14.03125,13.875,13.96875,10.828157000000001,285600
1998-03-19,13.875,14.125,13.8125,14.0,10.85238,318800
1998-03-20,13.8125,13.875,13.46875,13.75,10.658586999999999,901800
1998-03-23,13.65625,13.75,13.5,13.75,10.658586999999999,219800
1998-03-24,13.625,13.90625,13.625,13.71875,10.634364999999999,489400
1998-03-25,13.71875,13.9375,13.71875,13.84375,10.731258,265000
1998-03-26,13.84375,13.84375,13.71875,13.78125,10.682812,159000
1998-03-27,13.78125,14.0625,13.78125,13.875,10.755486,277000
1998-03-30,14.0625,14.21875,14.03125,14.21875,11.021947,253000
1998-03-31,14.21875,14.875,14.21875,14.53125,11.264191,486200
1998-04-01,14.53125,14.6875,14.3125,14.6875,11.385305,281400
1998-04-02,14.6875,14.6875,14.40625,14.59375,11.312636,197400
1998-04-03,14.59375,14.75,14.46875,14.59375,11.312636,281800
1998-04-06,14.53125,14.71875,14.15625,14.1875,10.997724,157000
1998-04-07,13.9375,14.03125,13.8125,13.96875,10.828157000000001,181600
1998-04-08,13.96875,14.0,13.5625,13.90625,10.779707,427800
1998-04-09,13.9375,14.875,13.9375,14.5625,11.288416,315200
1998-04-13,14.5,14.5,14.125,14.28125,11.070396,192000
1998-04-14,14.28125,14.625,14.28125,14.5625,11.288416,255800
1998-04-15,14.75,14.96875,14.53125,14.84375,11.562006,379200
1998-04-16,14.8125,14.8125,14.625,14.625,11.391621,224800
1998-04-17,14.625,14.78125,14.59375,14.71875,11.464644999999999,267800
1998-04-20,14.65625,14.84375,14.625,14.8125,11.537666999999999,233800
1998-04-21,14.875,15.625,14.84375,15.5,12.073167999999999,486400
1998-04-22,15.5,15.625,15.34375,15.5,12.073167999999999,583000
1998-04-23,15.46875,15.65625,15.15625,15.375,11.975811,1291800
1998-04-24,15.375,15.4375,15.125,15.1875,11.829758,355600
1998-04-27,14.875,15.125,14.78125,15.0,11.683710000000001,322200
1998-04-28,15.0,15.25,15.0,15.125,11.781079,313600
1998-04-29,15.09375,15.15625,14.90625,14.90625,11.610686,562200
1998-04-30,14.9375,15.09375,14.9375,15.0625,11.732389,935400
1998-05-01,15.0625,15.1875,14.96875,15.09375,11.756737,576800
1998-05-04,15.125,15.15625,14.96875,15.03125,11.708053,200000
1998-05-05,15.25,15.25,15.0,15.0625,11.732389,188400
1998-05-06,15.125,15.125,14.8125,15.0625,11.732389,367200
1998-05-07,14.9375,14.9375,14.5,14.75,11.488983000000001,378800
1998-05-08,14.625,15.21875,14.625,14.96875,11.659373,436600
1998-05-11,15.0,15.1875,14.90625,15.1875,11.829758,250000
1998-05-12,15.15625,15.46875,15.15625,15.46875,12.048827000000001,399800
