Date,Open,High,Low,Close,Adj Close,Volume
1998-01-02,13.375,14.125,13.375,14.125,12.822666,301900
1998-01-05,14.125,14.25,14.0,14.25,12.936147,265700
1998-01-06,14.0,14.0,13.625,13.875,12.595722,171600
1998-01-07,13.8125,13.875,13.625,13.6875,12.425507000000001,92400
1998-01-08,13.6875,13.8125,13.5,13.8125,12.538981,112700
1998-01-09,13.625,13.75,13.25,13.375,12.141822,233600
1998-01-12,13.0,13.25,12.625,12.625,11.46097,171200
1998-01-13,12.625,13.0625,12.625,12.9375,11.744655,493800
1998-01-14,12.875,13.0,12.6875,12.75,11.574442999999999,300800
1998-01-15,12.875,13.0,12.75,12.875,11.687919,127300
1998-01-16,12.875,12.875,12.6875,12.875,11.687919,311700
1998-01-20,12.875,12.875,12.6875,12.8125,11.63118,357500
1998-01-21,12.75,12.875,12.3125,12.4375,11.290758,198500
1998-01-22,12.3125,12.625,12.25,12.375,11.234016,196600
1998-01-23,12.375,12.4375,12.125,12.25,11.120543,153500
1998-01-26,12.25,12.375,12.125,12.125,11.007069,55400
1998-01-27,12.125,12.5,12.125,12.4375,11.290758,117300
1998-01-28,12.4375,12.5,12.0,12.15625,11.035442,283500
1998-01-29,12.0625,12.25,11.875,12.125,11.007069,286600
1998-01-30,12.125,12.1875,11.5625,11.625,10.553169,260400
1998-02-02,11.625,12.875,11.625,12.625,11.46097,585300
1998-02-03,12.9375,13.375,12.625,13.0,11.801394,156200
1998-02-04,11.625,11.8125,10.5,10.9375,9.92906,1089000
1998-02-05,11.0625,11.1875,10.5,10.5,9.531891,850700
1998-02-06,10.75,10.75,9.3125,10.0,9.077994,5503400
1998-02-09,10.125,10.4375,9.9375,10.4375,9.475157000000001,992700
1998-02-10,10.5,10.9375,10.4375,10.625,9.64537,536100
1998-02-11,10.5625,10.9375,10.5,10.9375,9.92906,508900
1998-02-12,10.875,11.0,10.625,10.9375,9.92906,897000
1998-02-13,11.0,11.0625,10.75,10.875,9.872324,866600
1998-02-17,10.8125,11.0625,10.625,10.6875,9.702107,546000
1998-02-18,10.625,10.75,10.375,10.6875,9.702107,372800
1998-02-19,10.5625,10.9375,10.5,10.9375,9.92906,670900
1998-02-20,10.625,10.9375,10.5625,10.625,9.64537,303900
1998-02-23,10.625,10.8125,10.5625,10.75,9.758842999999999,415000
1998-02-24,10.625,10.875,10.5625,10.875,9.872324,176500
1998-02-25,10.625,10.875,10.625,10.8125,9.815583,128200
1998-02-26,10.75,10.875,10.625,10.8125,9.815583,172800
1998-02-27,10.6875,10.875,10.625,10.75,9.758842999999999,229500
