Date,Open,High,Low,Close,Adj Close,Volume
1998-01-02,29.25,29.4375,28.6875,28.875,13.579379999999999,27500
1998-01-05,29.25,29.25,28.6875,29.0625,13.667556,250000
1998-01-06,29.5,29.5,29.0625,29.1875,13.726338,142300
1998-01-07,29.4375,29.8125,29.375,29.625,13.932096,145800
1998-01-08,29.5625,29.75,29.5625,29.6875,13.961485999999999,87600
1998-01-09,29.75,30.25,29.75,30.1875,14.196623,647600
1998-01-12,30.0,30.4375,30.0,30.125,14.167229999999998,186600
1998-01-13,30.375,31.625,30.375,31.625,14.87265,478500
1998-01-14,31.5,32.0,31.5,31.9375,15.019615,392200
1998-01-15,31.9375,32.75,31.625,32.5625,15.313543,287300
1998-01-16,32.5625,33.0625,32.5625,33.0,15.519292000000002,404800
1998-01-20,32.75,33.4375,32.375,33.4375,15.72504,129400
1998-01-21,33.1875,33.375,32.5625,32.6875,15.372325,106400
1998-01-22,32.75,33.0,32.625,32.75,15.401728,167600
1998-01-23,32.75,32.875,32.625,32.875,15.460510999999999,276000
1998-01-26,32.875,32.875,32.5,32.75,15.401728,83700
1998-01-27,32.75,32.75,32.5625,32.6875,15.372325,175800
1998-01-28,32.625,32.75,32.625,32.6875,15.372325,76500
1998-01-29,32.625,32.75,32.375,32.5,15.284151999999999,142500
1998-01-30,32.5625,33.125,32.4375,32.875,15.460510999999999,152800
1998-02-02,33.125,33.5,33.0,33.0625,15.54868,229000
1998-02-03,32.875,33.0,32.625,32.9375,15.489901000000001,41800
1998-02-04,32.75,33.125,32.75,33.0625,15.54868,167400
1998-02-05,33.0625,33.25,32.8125,32.9375,15.489901000000001,287500
1998-02-06,32.9375,33.25,32.8125,33.1875,15.607467000000002,180200
1998-02-09,33.0,33.375,33.0,33.3125,15.666257,142200
1998-02-10,33.625,33.625,33.375,33.5625,15.783829999999998,106800
1998-02-11,33.125,33.375,32.8125,32.875,15.460510999999999,255200
1998-02-12,32.9375,33.0,32.3125,32.4375,15.254754,73800
1998-02-13,32.5,32.625,32.25,32.4375,15.254754,76800
1998-02-17,32.1875,32.375,32.0,32.125,15.107794,110200
1998-02-18,31.75,32.0,31.5625,31.75,14.931441,89000
1998-02-19,31.25,31.875,31.25,31.75,14.931441,101900
1998-02-20,31.625,32.0,31.25,31.75,14.931441,149700
1998-02-23,31.75,31.9375,31.375,31.8125,14.960830999999999,82500
1998-02-24,31.9375,32.125,31.75,31.875,14.990225,126100
1998-02-25,31.8125,31.9375,31.75,31.875,14.990225,22500
1998-02-26,31.75,32.0,31.625,31.75,14.931441,30700
1998-02-27,31.5,31.625,30.75,30.8125,14.490541,92000
1998-03-02,30.8125,31.0,30.5625,30.5625,14.372979999999998,66100
1998-03-03,30.625,30.625,30.125,30.1875,14.196623,90000
1998-03-04,30.0625,30.0625,29.625,29.9375,14.079049,294700
1998-03-05,29.75,30.625,29.625,30.1875,14.196623,48600
1998-03-06,30.1875,30.75,30.1875,30.75,14.461154,44900
1998-03-09,30.625,30.6875,30.3125,30.3125,14.255407,133300
1998-03-10,30.125,30.5,30.125,30.1875,14.196623,78700
1998-03-11,30.3125,30.3125,30.0,30.25,14.226015,354400
1998-03-12,30.0,30.5625,29.9375,30.0,14.211807,322600
1998-03-13,30.0,30.0,29.375,29.625,14.034162,60700
1998-03-16,29.875,30.0625,29.6875,29.6875,14.063766000000001,71700
1998-03-17,29.625,30.25,29.625,30.0625,14.241412,90200
1998-03-18,30.1875,30.1875,29.8125,29.875,14.152589,105800
1998-03-19,29.9375,30.0,29.8125,30.0,14.211807,47500
1998-03-20,30.375,30.5,30.0625,30.125,14.271020000000002,92100
1998-03-23,29.875,30.0625,29.75,30.0625,14.241412,37400
1998-03-24,30.0,30.25,29.9375,30.125,14.271020000000002,71200
1998-03-25,30.0,30.375,29.875,30.375,14.389448999999999,76400
1998-03-26,30.4375,30.6875,29.9375,29.9375,14.182191,62000
1998-03-27,30.125,30.4375,30.125,30.25,14.330235,164200
1998-03-30,30.25,30.5,30.0,30.125,14.271020000000002,152800
1998-03-31,30.375,30.875,30.0,30.875,14.626314,172900
1998-04-01,30.9375,31.25,30.75,31.0,14.685529,70400
1998-04-02,31.0,31.9375,30.9375,31.6875,15.011217000000002,107800
1998-04-03,31.6875,32.625,31.375,32.1875,15.248079999999998,219300
1998-04-06,32.4375,32.625,32.125,32.375,15.336904999999998,159700
1998-04-07,32.3125,32.625,32.25,32.375,15.336904999999998,177000
1998-04-08,32.625,32.75,31.9375,31.9375,15.129646,115000
1998-04-09,31.875,32.0,31.4375,31.5625,14.951998000000001,53500
1998-04-13,31.8125,31.875,31.4375,31.5625,14.951998000000001,50000
1998-04-14,31.4375,31.625,31.375,31.5625,14.951998000000001,62400
1998-04-15,31.3125,31.4375,30.875,31.375,14.863176999999999,208100
1998-04-16,31.75,31.75,31.0625,31.0625,14.715144,152300
1998-04-17,31.0625,31.25,30.8125,30.8125,14.596713000000001,98300
1998-04-20,30.5625,31.125,30.5,30.875,14.626314,58200
1998-04-21,30.8125,31.0625,30.5625,30.6875,14.537488,213900
1998-04-22,30.5625,30.75,30.3125,30.5,14.448671,145100
1998-04-23,30.5625,30.75,30.375,30.4375,14.419054000000001,62500
1998-04-24,30.4375,30.625,30.0,30.125,14.271020000000002,89700
1998-04-27,30.0,30.1875,29.875,30.0,14.211807,74300
1998-04-28,30.0625,30.5,30.0625,30.25,14.330235,90000
1998-04-29,30.375,30.875,30.3125,30.75,14.567096,43800
1998-04-30,30.75,31.0,30.75,30.75,14.567096,192300
1998-05-01,30.75,30.875,30.625,30.8125,14.596713000000001,65300
1998-05-04,30.625,31.125,30.375,31.0625,14.715144,43500
1998-05-05,31.0625,31.125,29.875,30.3125,14.359838,502800
1998-05-06,30.5,30.75,30.25,30.5625,14.478273000000002,268500
1998-05-07,30.5625,30.6875,30.5625,30.625,14.507886,120500
1998-05-08,30.5625,30.625,29.9375,30.25,14.330235,186100
1998-05-11,30.125,30.25,29.875,29.875,14.152589,227700
1998-05-12,29.75,30.0625,29.75,30.0,14.211807,184200
1998-05-13,30.0,30.125,30.0,30.0625,14.241412,89900
1998-05-14,30.0625,30.25,30.0,30.125,14.271020000000002,110000
1998-05-15,30.125,30.125,29.875,29.875,14.152589,125900
1998-05-18,30.0,30.25,29.9375,30.0,14.211807,56500
1998-05-19,30.0,30.0,29.5625,29.625,14.034162,162800
1998-05-20,29.6875,29.8125,29.5,29.5625,14.004545000000002,119500
1998-05-21,29.5,29.875,29.4375,29.4375,13.945332999999998,103500
1998-05-22,29.375,29.4375,28.875,29.125,13.797282000000001,82100
1998-05-26,29.0625,29.4375,29.0,29.375,13.915725,57600
1998-05-27,29.25,29.3125,28.75,29.3125,13.886115,70400
1998-05-28,29.25,29.5,29.125,29.3125,13.886115,108200
1998-05-29,29.25,30.0,29.25,30.0,14.211807,130700
1998-06-01,29.875,30.125,29.75,30.0,14.211807,53100
1998-06-02,29.9375,30.1875,29.75,29.9375,14.182191,40200
1998-06-03,29.875,30.0,29.75,29.75,14.093370000000002,21300
1998-06-04,29.625,29.75,29.5,29.5,13.97494,22400
1998-06-05,29.5,29.5,28.8125,29.125,13.797282000000001,77600
1998-06-08,29.375,29.5625,29.0,29.0,13.738074,41500
1998-06-09,29.0,29.0,28.8125,28.875,13.678860999999998,43200
1998-06-10,28.875,28.9375,28.5,28.5625,13.530825,448700
1998-06-11,28.0,28.125,28.0,28.0,13.367306,59500
1998-06-12,28.25,28.25,26.625,26.75,12.770560000000001,283600
1998-06-15,27.0,27.375,26.9375,27.0,12.889911999999999,113200
1998-06-16,26.875,27.0,26.25,26.5625,12.68104,622400
1998-06-17,26.5,26.9375,26.5,26.875,12.830227,188700
1998-06-18,26.6875,26.875,26.625,26.8125,12.800392,146500
1998-06-19,27.0,27.125,26.75,26.875,12.830227,215900
1998-06-22,27.0,27.25,27.0,27.0625,12.919746,70500
1998-06-23,27.0625,27.125,26.8125,26.8125,12.800392,118000
1998-06-24,26.6875,27.375,26.625,26.6875,12.740721,134100
1998-06-25,26.875,27.0,26.75,26.75,12.770560000000001,99400
1998-06-26,26.75,27.25,26.75,27.125,12.949581,131700
1998-06-29,27.125,28.25,27.0625,27.875,13.30764,108300
1998-06-30,28.0,28.0,27.875,28.0,13.367306,142700
1998-07-01,27.875,27.9375,27.4375,27.875,13.30764,105200
1998-07-02,28.0,28.3125,27.9375,28.25,13.48666,369100
1998-07-06,28.125,28.375,28.0,28.1875,13.456822,117000
1998-07-07,28.1875,28.5625,28.1875,28.5,13.606010999999999,297100
1998-07-08,28.5,28.6875,28.375,28.5625,13.635851999999998,128000
1998-07-09,28.5,28.8125,28.4375,28.8125,13.755204,83000
1998-07-10,28.8125,28.8125,28.625,28.8125,13.755204,32700
1998-07-13,28.5625,28.875,28.5,28.625,13.665695999999999,71100
1998-07-14,28.875,28.875,28.3125,28.3125,13.516499,73400
1998-07-15,28.0625,28.125,27.625,27.9375,13.337472,75900
1998-07-16,27.8125,28.3125,27.75,28.1875,13.456822,79200
1998-07-17,28.375,28.375,27.6875,27.75,13.247962,188500
1998-07-20,27.6875,27.75,27.5625,27.6875,13.218125,104600
1998-07-21,27.625,27.875,27.625,27.625,13.188284,29000
1998-07-22,27.5,27.625,27.25,27.3125,13.039096,59000
1998-07-23,27.0625,27.375,26.875,27.0,12.889911999999999,229000
1998-07-24,27.0,27.125,26.75,26.8125,12.800392,203800
1998-07-27,26.8125,26.875,26.5,26.8125,12.800392,217600
1998-07-28,26.875,27.0,26.5,26.5,12.6512,337300
1998-07-29,26.5,26.75,26.375,26.4375,12.621367,368700
1998-07-30,26.5625,26.875,26.375,26.875,12.830227,79300
1998-07-31,27.0,27.0,26.3125,26.5,12.6512,90400
1998-08-03,26.375,26.375,25.5,25.5625,12.203639,1006800
1998-08-04,25.3125,25.75,25.0,25.0,11.935098,426900
1998-08-05,25.0,25.125,24.625,24.8125,11.845583999999999,269200
1998-08-06,24.6875,24.6875,23.4375,24.4375,11.666559,714900
1998-08-07,24.1875,25.375,24.1875,25.3125,12.084288,230900
1998-08-10,25.3125,25.75,25.25,25.625,12.233474000000001,68400
1998-08-11,25.5625,25.5625,25.0,25.25,12.05445,57200
1998-08-12,25.25,25.875,25.25,25.75,12.293156,124800
1998-08-13,25.875,26.125,25.875,26.0625,12.442344,135400
1998-08-14,26.0,26.0625,25.75,25.875,12.352822,90100
1998-08-17,26.0625,26.25,26.0,26.0,12.412506,141300
1998-08-18,26.0,26.25,26.0,26.0625,12.442344,53800
1998-08-19,26.0625,26.25,26.0,26.1875,12.502011,65700
1998-08-20,26.125,26.1875,25.875,25.9375,12.382667999999999,118400
1998-08-21,25.5625,25.9375,25.5625,25.875,12.352822,56600
1998-08-24,25.8125,26.1875,25.5625,26.0625,12.442344,133300
1998-08-25,26.25,26.25,25.1875,26.0625,12.442344,114100
1998-08-26,25.9375,26.25,25.875,26.1875,12.502011,94000
