Date,Open,High,Low,Close,Adj Close,Volume
1998-01-02,22.4375,22.71875,22.4375,22.71875,15.730334,797000
1998-01-05,23.3125,23.40625,22.84375,22.90625,15.860160999999998,1007200
1998-01-06,22.78125,22.84375,22.6875,22.71875,15.730334,668400
1998-01-07,22.65625,22.65625,22.0625,22.40625,15.513967999999998,1296800
1998-01-08,22.1875,22.25,22.0625,22.125,15.31923,866000
1998-01-09,21.9375,22.03125,21.4375,21.53125,14.908114999999999,1268400
1998-01-12,20.75,21.6875,20.75,21.6875,15.016306,1776400
1998-01-13,21.6875,21.875,21.53125,21.8125,15.102859,717000
1998-01-14,21.78125,22.25,21.78125,22.21875,15.384143,954600
1998-01-15,22.0,22.03125,20.25,21.15625,14.648468,5791200
1998-01-16,21.21875,21.75,21.21875,21.65625,14.994666,2381600
1998-01-20,21.59375,21.875,21.375,21.53125,14.908114999999999,1056800
1998-01-21,21.625,21.625,21.4375,21.53125,14.908114999999999,729800
1998-01-22,20.5,20.53125,19.875,20.3125,14.064257000000001,9400000
1998-01-23,20.4375,20.71875,19.875,20.6875,14.32391,3878200
1998-01-26,20.75,20.8125,20.5,20.59375,14.259,1279600
1998-01-27,20.59375,20.71875,20.21875,20.28125,14.042623999999998,1330200
1998-01-28,20.28125,20.5625,20.28125,20.40625,14.129176999999999,2136200
1998-01-29,20.4375,21.21875,20.4375,20.8125,14.41046,1854600
1998-01-30,20.78125,20.8125,20.65625,20.71875,14.345545000000001,1235200
1998-02-02,20.8125,21.40625,20.8125,21.3125,14.756656,2305800
1998-02-03,21.40625,21.53125,21.21875,21.5,14.886484,2088200
1998-02-04,21.5,21.5,21.0,21.25,14.713385,1609200
1998-02-05,21.3125,21.3125,21.0625,21.148439,14.64306,3234600
1998-02-06,21.25,21.875,21.15625,21.59375,14.951392000000002,2706800
1998-02-09,21.625,22.1875,21.4375,21.6875,15.016306,1484600
1998-02-10,21.9375,22.40625,21.9375,22.25,15.405776000000001,2063200
1998-02-11,22.34375,22.625,21.875,21.96875,15.211035999999998,878800
1998-02-12,21.625,22.25,21.625,22.1875,15.362501000000002,940800
1998-02-13,22.09375,22.1875,21.96875,22.0,15.232681,808000
1998-02-17,22.125,22.625,22.125,22.3125,15.449046,1047600
1998-02-18,22.25,22.5625,22.1875,22.46875,15.557229000000001,980200
1998-02-19,22.5,22.71875,22.375,22.59375,15.643788,1026800
1998-02-20,22.5,22.78125,22.40625,22.78125,15.773612,789400
1998-02-23,22.71875,22.84375,22.53125,22.84375,15.816885000000001,947600
1998-02-24,22.8125,23.0,22.75,22.8125,15.795248999999998,888400
1998-02-25,23.125,23.1875,22.90625,23.15625,16.033264000000003,1000600
1998-02-26,23.125,24.03125,23.125,23.84375,16.509275,1687400
1998-02-27,23.6875,23.96875,23.6875,23.90625,16.552560999999997,915600
1998-03-02,23.78125,23.96875,23.75,23.90625,16.552560999999997,1038000
1998-03-03,23.84375,24.0625,23.84375,24.03125,16.639104999999997,860400
1998-03-04,23.96875,23.96875,23.84375,23.90625,16.595709,526400
1998-03-05,23.71875,23.9375,23.5,23.6875,16.443861,1024000
1998-03-06,23.6875,23.6875,23.375,23.5,16.313696,1017400
1998-03-09,23.53125,23.53125,23.125,23.375,16.226923,934800
1998-03-10,23.34375,23.59375,23.3125,23.5625,16.357088,839800
1998-03-11,23.5625,23.8125,23.5,23.625,16.400473,1532800
1998-03-12,23.53125,23.5625,23.375,23.53125,16.335392000000002,355400
1998-03-13,23.5625,23.71875,23.25,23.25,16.140152,759800
1998-03-16,23.34375,23.59375,23.3125,23.59375,16.378771,600800
1998-03-17,23.59375,23.9375,23.59375,23.875,16.57402,707600
1998-03-18,23.75,23.96875,23.65625,23.84375,16.55232,910200
1998-03-19,23.8125,24.03125,23.78125,24.03125,16.682493,827600
1998-03-20,24.125,24.25,23.96875,24.125,16.747567999999998,1122200
1998-03-23,24.125,24.25,23.75,24.21875,16.812647,708200
1998-03-24,24.375,24.6875,24.375,24.375,16.921127,590400
