Date,Open,High,Low,Close,Adj Close,Volume
1998-01-02,10.91667,10.91667,10.58333,10.70833,9.820092,46000
1998-01-05,10.625,10.70833,10.29167,10.33333,9.4762,133000
1998-01-06,10.25,10.25,9.66667,9.70833,8.903039,149500
1998-01-07,9.70833,10.0,9.54167,9.66667,8.864834,109800
1998-01-08,9.70833,9.70833,9.58333,9.66667,8.864834,191400
1998-01-09,9.66667,9.66667,8.83333,9.08333,8.329885,329100
1998-01-12,9.0,9.375,8.875,9.29167,8.520942999999999,407500
1998-01-13,9.29167,9.83333,9.29167,9.41667,8.635574,407700
1998-01-14,9.54167,9.75,9.54167,9.75,8.941251,309900
1998-01-15,9.75,10.91667,9.75,10.54167,9.667253,466200
1998-01-16,10.54167,10.79167,10.5,10.79167,9.896517,122100
1998-01-20,10.79167,11.0,10.75,10.91667,10.011144999999999,62700
1998-01-21,10.91667,11.04167,10.75,10.75,9.858305,141600
1998-01-22,10.33333,10.375,10.125,10.20833,9.361566,109800
1998-01-23,10.29167,10.375,10.0,10.125,9.285148,73300
1998-01-26,10.08333,10.25,9.95833,10.125,9.285148,51700
1998-01-27,10.04167,10.16667,9.95833,10.16667,9.323361,160000
1998-01-28,10.125,10.41667,10.125,10.41667,9.552627000000001,68100
1998-01-29,10.41667,10.79167,10.33333,10.79167,9.896517,84000
1998-01-30,10.79167,10.79167,10.54167,10.625,9.743675,82900
1998-02-02,10.54167,10.54167,10.33333,10.41667,9.552627000000001,90700
1998-02-03,10.5,10.58333,10.375,10.58333,9.705461999999999,70500
1998-02-04,10.5,10.58333,10.33333,10.45833,9.590827,38800
1998-02-05,10.41667,10.875,10.41667,10.66667,9.781886,126900
1998-02-06,10.75,11.33333,10.54167,11.33333,10.393249,172900
1998-02-09,11.29167,11.5,11.25,11.375,10.431464,249700
1998-02-10,11.45833,11.66667,11.29167,11.33333,10.393249,49300
1998-02-11,11.33333,11.58333,11.33333,11.58333,10.62251,129900
1998-02-12,11.54167,11.625,11.45833,11.54167,10.584305,432900
1998-02-13,11.5,11.5,11.08333,11.08333,10.163984,250800
1998-02-17,11.16667,11.16667,10.54167,10.58333,9.705461999999999,136800
1998-02-18,10.5,10.875,10.45833,10.83333,9.934722,110700
1998-02-19,10.79167,10.79167,10.41667,10.66667,9.781886,54100
1998-02-20,10.58333,10.58333,10.20833,10.45833,9.590827,227100
1998-02-23,10.41667,10.45833,10.33333,10.375,9.514408,75100
1998-02-24,10.375,10.41667,10.29167,10.375,9.514408,135900
