Date,Open,High,Low,Close,Adj Close,Volume
1998-01-02,30.875,30.875,30.5625,30.875,24.501148,615600
1998-01-05,30.9375,31.4375,30.875,31.21875,24.773933,448600
1998-01-06,31.21875,31.21875,30.6875,30.90625,24.525942,349600
1998-01-07,30.8125,30.84375,30.0625,30.375,24.104366,205400
1998-01-08,30.3125,30.3125,29.28125,29.59375,23.4844,281600
1998-01-09,29.59375,29.59375,28.3125,28.40625,22.542046,483800
1998-01-12,28.28125,28.28125,27.96875,28.0,22.219666,584400
1998-01-13,28.0,28.03125,27.59375,27.90625,22.145270999999997,660200
1998-01-14,28.03125,28.625,28.03125,28.5,22.616451,456800
1998-01-15,28.4375,28.84375,28.3125,28.84375,22.889229,584800
1998-01-16,28.84375,29.90625,28.84375,29.65625,23.533998,817600
1998-01-20,29.78125,30.6875,29.75,30.5625,24.253159,807800
1998-01-21,30.4375,30.8125,30.03125,30.09375,23.881176,240600
1998-01-22,30.09375,30.125,29.625,29.8125,23.657984,1269400
1998-01-23,29.84375,29.9375,29.65625,29.8125,23.657984,291600
1998-01-26,29.84375,29.84375,29.25,29.375,23.310804,406800
1998-01-27,29.375,30.8125,29.375,30.25,24.005173000000003,454600
1998-01-28,30.25,31.25,30.25,31.0,24.600342,411800
1998-01-29,30.75,31.3125,30.75,31.125,24.699539,752200
1998-01-30,31.21875,31.625,31.1875,31.4375,24.947521,287400
1998-02-02,31.75,32.09375,31.71875,31.75,25.195518,344800
1998-02-03,31.8125,31.96875,31.625,31.75,25.195518,359000
1998-02-04,31.78125,31.9375,31.625,31.84375,25.269904999999998,375200
1998-02-05,31.8125,32.25,31.71875,31.875,25.294710000000002,311800
1998-02-06,31.84375,31.84375,31.375,31.46875,24.972326000000002,420600
1998-02-09,31.5,31.625,30.65625,30.71875,24.377148000000002,369600
1998-02-10,30.84375,31.3125,30.78125,30.8125,24.451546,329000
1998-02-11,30.9375,31.3125,30.8125,30.8125,24.451546,254000
1998-02-12,30.84375,30.875,30.21875,30.5,24.203561999999998,427200
1998-02-13,30.5,30.5,30.0,30.125,23.905979000000002,304400
1998-02-17,30.125,30.625,30.125,30.25,24.005173000000003,1281400
1998-02-18,30.25,30.53125,30.15625,30.5,24.203561999999998,1454600
1998-02-19,30.5,30.53125,30.15625,30.28125,24.029974,651600
1998-02-20,30.34375,30.375,30.0,30.09375,23.881176,361800
1998-02-23,30.125,30.375,30.0625,30.09375,23.881176,595600
1998-02-24,29.8125,30.0625,29.6875,29.84375,23.682789,940800
1998-02-25,30.25,31.125,30.21875,30.5,24.203561999999998,1970600
1998-02-26,30.5625,32.5,30.5625,32.15625,25.517897,2294000
1998-02-27,32.09375,33.75,32.09375,33.65625,26.708235,2480400
1998-03-02,33.53125,34.25,33.53125,33.65625,26.708235,1033600
1998-03-03,33.625,33.625,33.15625,33.4375,26.534643,1094800
1998-03-04,33.4375,33.4375,33.09375,33.125,26.286652,562200
1998-03-05,33.125,33.375,32.75,33.34375,26.460253,403200
1998-03-06,33.3125,33.875,33.3125,33.59375,26.658635999999998,669200
1998-03-09,33.5,34.25,33.375,33.375,26.485043,245200
1998-03-10,33.625,35.0,33.625,34.75,27.576190999999998,1166000
1998-03-11,34.8125,34.8125,34.125,34.375,27.278606,302800
1998-03-12,34.40625,34.40625,33.9375,34.09375,27.055414000000003,1614200
1998-03-13,34.21875,34.3125,33.9375,34.03125,27.005821,433400
1998-03-16,34.15625,34.4375,34.0,34.03125,27.005821,727400
1998-03-17,34.0625,34.53125,34.03125,34.40625,27.303403999999997,1300000
1998-03-18,34.40625,34.40625,33.875,33.90625,26.906628,327600
1998-03-19,33.90625,34.0,33.0,33.1875,26.336253999999997,603400
1998-03-20,33.3125,33.5625,33.3125,33.375,26.485043,419000
1998-03-23,33.5,33.59375,33.375,33.40625,26.50985,580800
1998-03-24,33.4375,33.5,32.875,33.1875,26.336253999999997,818400
1998-03-25,34.25,34.25,33.46875,33.59375,26.658635999999998,2434800
1998-03-26,33.59375,33.59375,33.21875,33.25,26.385851000000002,716200
1998-03-27,33.375,33.4375,32.875,33.125,26.286652,990800
1998-03-30,33.125,33.375,32.78125,33.09375,26.26185,1285800
1998-03-31,33.125,33.125,32.53125,32.75,25.989079999999998,5284400
1998-04-01,33.25,33.25,32.125,32.34375,25.666685,1352000
1998-04-02,32.46875,32.75,31.5,32.6875,25.939472,838200
1998-04-03,32.8125,32.96875,32.59375,32.59375,25.86508,580400
1998-04-06,32.71875,32.75,32.0625,32.21875,25.567493,551000
1998-04-07,32.34375,32.34375,31.75,32.0625,25.443501,422000
1998-04-08,31.9375,32.09375,31.5625,31.71875,25.170711999999998,914200
1998-04-09,31.75,31.75,31.34375,31.5,24.997126,1123000
1998-04-13,31.625,31.65625,30.90625,31.15625,24.724335,1228400
1998-04-14,31.28125,32.0625,31.28125,31.96875,25.369101,1380600
1998-04-15,32.09375,32.1875,31.78125,31.78125,25.220303,1267800
1998-04-16,31.8125,31.84375,31.21875,31.34375,24.873131,592400
1998-04-17,31.3125,31.3125,30.1875,30.9375,24.550745000000003,1454800
1998-04-20,30.9375,31.6875,30.9375,31.28125,24.823528,2093000
1998-04-21,31.34375,31.5625,31.25,31.4375,24.947521,1096400
1998-04-22,31.40625,31.40625,30.65625,30.65625,24.327555,1398800
1998-04-23,30.6875,30.75,30.125,30.5625,24.253159,723000
1998-04-24,30.53125,30.53125,29.125,29.125,23.112420999999998,515200
1998-04-27,28.8125,29.625,28.625,29.375,23.310804,2014200
1998-04-28,30.125,30.125,29.78125,29.90625,23.732391,1639200
1998-04-29,29.9375,30.9375,29.9375,30.75,24.401954999999997,1832800
1998-04-30,30.75,31.5625,30.75,31.34375,24.873131,1563600
1998-05-01,31.375,31.6875,31.1875,31.625,25.096317000000003,799400
1998-05-04,31.53125,31.96875,31.53125,31.53125,25.021923,527600
1998-05-05,31.5,31.6875,31.34375,31.4375,24.947521,317400
1998-05-06,27.5,27.625,26.375,27.28125,21.649292000000003,11532200
1998-05-07,27.28125,27.6875,27.0,27.03125,21.450897,3255400
1998-05-08,27.0625,27.09375,25.875,26.125,20.731735,2882600
1998-05-11,26.375,27.4375,26.25,27.40625,21.748489000000003,1323600
1998-05-12,27.375,27.4375,26.96875,27.25,21.624496,2200800
1998-05-13,27.28125,27.96875,27.28125,27.65625,21.946875,1430800
1998-05-14,27.625,27.6875,27.375,27.46875,21.798088,864800
1998-05-15,27.40625,27.59375,27.21875,27.21875,21.599697,1415000
1998-05-18,27.21875,27.375,26.90625,27.0625,21.475697,467400
1998-05-19,27.1875,27.3125,27.03125,27.25,21.624496,817600
1998-05-20,27.625,27.71875,27.25,27.3125,21.674095,373400
1998-05-21,27.25,27.34375,26.90625,27.0625,21.475697,561600
1998-05-22,27.0,27.21875,27.0,27.1875,21.574898,422200
1998-05-26,27.1875,27.1875,26.8125,26.8125,21.277309,437200
1998-05-27,26.6875,26.6875,26.125,26.375,20.930128,424400
1998-05-28,26.5,27.0625,26.5,26.96875,21.401301999999998,376600
1998-05-29,27.0,27.09375,26.6875,26.75,21.227716,672000
1998-06-01,26.625,27.0,26.625,26.8125,21.277309,606600
1998-06-02,26.71875,26.8125,26.0,26.125,20.731735,1784600
1998-06-03,26.09375,26.53125,26.0,26.5,21.029327,866800
