Date,Open,High,Low,Close,Adj Close,Volume
1998-01-02,28.5,28.75,27.8125,27.875,19.529551,376400
1998-01-05,27.6875,27.75,27.0,27.6875,19.398191,450100
1998-01-06,27.6875,28.6875,27.375,28.3125,19.836081,482700
1998-01-07,28.0625,28.1875,27.75,28.0,19.61713,414000
1998-01-08,27.875,28.0,26.875,27.0,18.916517000000002,496500
1998-01-09,27.125,27.1875,26.375,26.5,18.566208,299600
1998-01-12,26.0,26.9375,25.75,26.6875,18.69758,414000
1998-01-13,26.9375,27.25,26.4375,26.75,18.741365,531500
1998-01-14,27.0,27.375,26.875,27.125,19.004101000000002,262400
1998-01-15,27.125,27.375,26.75,27.1875,19.04788,460600
1998-01-16,27.5,27.8125,27.25,27.3125,19.135460000000002,293600
1998-01-20,27.5,27.5625,26.75,27.1875,19.04788,776100
1998-01-21,27.25,27.875,26.5,26.75,18.741365,431300
1998-01-22,26.5,26.75,26.125,26.75,18.741365,439000
1998-01-23,26.375,26.625,26.0,26.3125,18.434853,329800
1998-01-26,26.5,26.9375,25.75,26.9375,18.872726,465900
1998-01-27,27.25,28.0,27.125,28.0,19.61713,746100
1998-01-28,28.0,28.75,28.0,28.625,20.055014,660500
1998-01-29,28.5,29.125,28.1875,29.0,20.317745000000002,707300
1998-01-30,28.875,28.875,28.4375,28.625,20.055014,444900
1998-02-02,29.0,29.4375,28.5625,28.875,20.230154000000002,587600
1998-02-03,28.75,29.375,28.6875,29.375,20.580479,283800
1998-02-04,29.0,29.4375,28.625,29.125,20.405325,271600
1998-02-05,29.125,29.375,28.75,28.8125,20.186369,387500
1998-02-06,28.9375,29.375,28.8125,29.0625,20.361532,601100
1998-02-09,29.25,29.4375,29.0,29.4375,20.624261999999998,325000
1998-02-10,29.4375,30.5,29.375,30.3125,21.237297,473900
1998-02-11,30.5,30.5,29.875,30.125,21.105944,753500
1998-02-12,30.0625,30.375,29.6875,30.375,21.281084,424100
1998-02-13,30.1875,30.5,29.9375,30.25,21.19351,830000
1998-02-17,30.625,30.9375,30.625,30.9375,21.675183999999998,332300
1998-02-18,30.875,31.5625,30.8125,31.5625,22.113064,407600
1998-02-19,31.8125,31.8125,31.0625,31.5625,22.113064,621800
1998-02-20,31.5625,31.75,30.9375,31.6875,22.200642000000002,283700
1998-02-23,31.625,31.8125,30.875,31.3125,21.937910000000002,372100
1998-02-24,31.125,31.125,30.625,30.8125,21.587601,508200
1998-02-25,31.0,31.625,30.6875,31.0625,21.762762,373000
1998-02-26,30.8125,31.9375,30.75,31.875,22.412815,264900
1998-02-27,32.5,33.5,32.25,33.4375,23.511467,1191900
1998-03-02,33.3125,33.75,33.125,33.625,23.643316,640400
1998-03-03,33.625,34.3125,33.3125,34.0,23.907007,406000
1998-03-04,34.125,34.3125,33.8125,34.0625,23.950943,521900
1998-03-05,33.75,33.9375,33.5,33.875,23.819115,486400
1998-03-06,34.0,35.25,34.0,34.8125,24.478308,778800
1998-03-09,34.5625,34.75,34.25,34.3125,24.126735999999998,181300
1998-03-10,34.5,34.625,34.1875,34.1875,24.038849,330800
1998-03-11,34.0,34.6875,34.0,34.375,24.170683,300100
1998-03-12,34.125,34.125,33.3125,33.8125,23.775161999999998,410200
1998-03-13,33.875,34.25,33.5,34.25,24.082781,199400
1998-03-16,34.4375,35.125,34.3125,35.0625,24.6541,405100
1998-03-17,34.625,35.25,34.625,34.8125,24.478308,463000
1998-03-18,35.0,35.0625,34.4375,34.5,24.258574,208500
1998-03-19,34.5,34.9375,34.5,34.9375,24.566206,132000
1998-03-20,34.9375,34.9375,34.625,34.625,24.346476000000003,275200
1998-03-23,34.1875,34.5625,34.0625,34.5,24.258574,310500
1998-03-24,34.375,34.875,34.125,34.875,24.522254999999998,319600
1998-03-25,35.0,35.5,34.5625,34.875,24.522254999999998,298700
1998-03-26,34.625,35.0625,34.0,34.6875,24.390409,232900
1998-03-27,34.8125,34.8125,34.1875,34.5,24.258574,377100
1998-03-30,34.3125,34.625,34.25,34.5625,24.302519,226800
1998-03-31,34.625,35.625,34.625,35.625,25.049612,545300
1998-04-01,36.375,37.0,36.0625,37.0,26.016445,1578700
1998-04-02,37.25,37.875,37.25,37.5,26.368009999999998,1056000
1998-04-03,37.5,37.5,36.3125,37.0,26.016445,879000
1998-04-06,37.0,37.0,36.125,36.25,25.489082,558100
1998-04-07,36.0,36.0625,35.0,35.4375,24.917773999999998,556300
1998-04-08,35.5,35.5,34.5,35.25,24.785933,966000
1998-04-09,35.4375,36.0,35.3125,35.5625,25.005663000000002,757600
1998-04-13,35.375,36.0,35.125,35.75,25.137518,370300
1998-04-14,35.875,36.125,35.6875,36.0,25.313292999999998,356900
