Date,Open,High,Low,Close,Adj Close,Volume
1998-01-02,26.1875,26.1875,25.75,25.9375,12.795781,16900
1998-01-05,25.875,26.0,25.875,25.875,12.764955,71800
1998-01-06,25.875,25.9375,25.5,25.75,12.703281,56600
1998-01-07,25.75,25.75,25.625,25.625,12.641621,30700
1998-01-08,25.6875,25.75,25.4375,25.5,12.579947,69100
1998-01-09,25.625,25.625,25.375,25.5,12.579947,20100
1998-01-12,25.25,25.25,25.0,25.0,12.333283999999999,215100
1998-01-13,25.125,25.125,24.875,25.125,12.394952,9700
1998-01-14,25.125,25.625,25.125,25.5625,12.610783999999999,293600
1998-01-15,25.3125,25.3125,25.125,25.25,12.456614,45600
1998-01-16,25.5,25.5,25.5,25.5,12.579947,82300
1998-01-20,25.625,26.125,25.5625,26.0,12.826616,104300
1998-01-21,26.125,26.75,25.875,26.125,12.888286,65000
1998-01-22,26.1875,26.625,26.1875,26.5,13.073281,122800
1998-01-23,26.5,26.875,26.375,26.5,13.073281,48700
1998-01-26,26.625,26.9375,26.5,26.625,13.134948000000001,41400
1998-01-27,26.6875,27.0,26.6875,26.75,13.196613000000001,19500
1998-01-28,27.0,27.0,26.75,26.75,13.196613000000001,19500
1998-01-29,26.8125,27.0,26.75,26.75,13.196613000000001,21700
1998-01-30,26.8125,27.875,26.75,27.875,13.751613,60600
1998-02-02,27.875,27.875,27.125,27.4375,13.535779999999999,26400
1998-02-03,27.4375,28.0,26.875,26.875,13.258284,130300
1998-02-04,27.0,27.0,26.5625,26.5625,13.104115,25300
1998-02-05,26.6875,26.6875,26.3125,26.4375,13.042454,11000
1998-02-06,26.25,26.5,26.25,26.3125,12.980782000000001,53400
1998-02-09,26.3125,26.375,26.0,26.1875,12.919119,37900
1998-02-10,26.1875,26.1875,25.875,26.0,12.826616,30400
1998-02-11,26.1875,26.625,26.0625,26.5,13.073281,37500
1998-02-12,26.375,26.375,26.125,26.125,12.888286,8100
1998-02-13,26.125,26.5,26.0,26.5,13.073281,27100
1998-02-17,26.4375,26.625,26.375,26.5625,13.104115,8600
1998-02-18,26.5625,26.5625,25.9375,26.125,12.888286,26400
1998-02-19,26.125,26.5,26.125,26.25,12.949945,42500
1998-02-20,26.25,26.625,26.25,26.5,13.073281,25900
1998-02-23,26.625,27.1875,26.625,27.125,13.381613,62000
1998-02-24,27.125,27.125,27.0,27.0,13.319948000000002,11200
1998-02-25,27.0,27.0625,26.875,26.875,13.258284,4000
1998-02-26,26.6875,26.6875,26.5,26.5,13.073281,29000
1998-02-27,26.625,26.625,26.5625,26.5625,13.104115,4700
1998-03-02,26.625,26.625,26.125,26.125,12.888286,23500
1998-03-03,25.9375,25.9375,25.75,25.75,12.703281,5700
1998-03-04,25.875,25.875,25.75,25.875,12.764955,15700
1998-03-05,25.8125,25.875,25.0,25.0,12.333283999999999,31300
1998-03-06,25.25,25.4375,25.25,25.25,12.456614,29500
1998-03-09,25.25,25.625,25.25,25.625,12.641621,10300
1998-03-10,25.625,25.625,25.25,25.625,12.641621,17900
1998-03-11,25.625,25.625,25.0,25.0,12.333283999999999,19000
1998-03-12,25.125,25.1875,25.125,25.1875,12.425782,3700
1998-03-13,24.9375,24.9375,24.125,24.25,11.963293,101900
1998-03-16,24.25,24.25,24.0,24.125,11.901614,103600
1998-03-17,24.3125,24.4375,24.125,24.375,12.02495,29800
1998-03-18,24.4375,24.4375,23.9375,24.0,11.839955,57400
1998-03-19,24.0,24.1875,24.0,24.1875,11.932453,2100
1998-03-20,24.375,25.0,24.375,24.875,12.271624000000001,15300
1998-03-23,25.125,25.3125,25.0,25.1875,12.425782,14800
1998-03-24,25.125,25.4375,25.125,25.375,12.518286,10500
1998-03-25,25.375,25.875,25.0625,25.0625,12.364118,63700
1998-03-26,25.0,25.25,24.8125,25.0,12.333283999999999,26700
1998-03-27,24.5,25.5625,24.4375,25.5625,12.789842,68900
1998-03-30,25.5625,25.5625,25.375,25.375,12.696033,6400
1998-03-31,25.375,25.625,25.1875,25.5625,12.789842,15400
1998-04-01,25.5,25.6875,25.5,25.6875,12.852383,2700
1998-04-02,25.5625,26.5,25.5625,26.25,13.133825,17800
1998-04-03,26.125,26.5625,26.125,26.4375,13.227638,5800
1998-04-06,26.375,26.75,26.375,26.5,13.258901000000002,16500
1998-04-07,26.75,26.75,26.375,26.5,13.258901000000002,37600
1998-04-08,26.375,26.375,25.8125,26.375,13.196363,19700
1998-04-09,26.25,26.375,26.25,26.375,13.196363,54700
1998-04-13,26.25,26.5625,26.0,26.0,13.00874,7600
1998-04-14,25.875,26.3125,25.75,25.75,12.883652,176800
1998-04-15,25.8125,25.8125,25.5,25.625,12.821117999999998,16700
1998-04-16,25.6875,25.6875,25.5,25.5,12.758573,2900
1998-04-17,25.5,25.5,24.875,25.0,12.508403,138900
1998-04-20,24.875,24.9375,24.625,24.625,12.320778,44000
1998-04-21,24.375,24.375,23.75,23.75,11.882984,166500
1998-04-22,23.8125,23.875,23.5625,23.875,11.945526,33900
1998-04-23,23.9375,24.0,23.75,23.875,11.945526,7600
1998-04-24,23.9375,23.9375,23.4375,23.5625,11.78917,14400
1998-04-27,23.6875,23.6875,23.375,23.375,11.695359,30000
1998-04-28,23.5625,23.75,23.375,23.5,11.757895,19100
1998-04-29,23.625,23.875,23.625,23.8125,11.914257000000001,10000
1998-04-30,23.8125,24.0,23.8125,24.0,12.008064,17200
1998-05-01,24.0,24.0625,23.9375,24.0625,12.039335000000001,1000
1998-05-04,24.0,24.0,23.875,24.0,12.008064,29400
1998-05-05,24.0,24.0,23.875,23.9375,11.976795,23500
1998-05-06,23.9375,23.9375,23.5,23.5625,11.78917,29300
1998-05-07,23.5625,23.5625,23.125,23.125,11.570272000000001,28300
1998-05-08,23.25,23.25,22.625,22.75,11.382647,116400
1998-05-11,22.75,22.8125,22.0,22.25,11.132480000000001,239800
1998-05-12,22.375,22.625,22.25,22.25,11.132480000000001,119500
1998-05-13,22.25,22.5,22.25,22.375,11.19502,3662200
1998-05-14,22.375,22.375,22.25,22.25,11.132480000000001,322800
1998-05-15,22.3125,22.5,22.3125,22.3125,11.16375,252800
1998-05-18,22.3125,22.4375,22.3125,22.4375,11.226291999999999,182200
1998-05-19,22.4375,22.6875,22.375,22.6875,11.351367999999999,249900
1998-05-20,22.6875,22.6875,22.5,22.5,11.257563000000001,138400
1998-05-21,22.5,22.625,22.25,22.25,11.132480000000001,97300
1998-05-22,22.5,22.5,22.375,22.5,11.257563000000001,181600
1998-05-26,22.5625,22.625,22.4375,22.5,11.257563000000001,197900
1998-05-27,22.5,22.5,22.25,22.25,11.132480000000001,137200
1998-05-28,22.25,22.375,22.25,22.25,11.132480000000001,62600
1998-05-29,22.3125,22.6875,22.3125,22.6875,11.351367999999999,136300
1998-06-01,22.5625,22.6875,22.5,22.5625,11.288834,99500
1998-06-02,22.625,22.6875,22.5625,22.625,11.320105,59000
1998-06-03,22.625,23.0,22.625,22.875,11.445191000000001,136100
1998-06-04,22.875,22.875,22.5625,22.625,11.320105,136400
1998-06-05,22.625,22.6875,22.5,22.5625,11.288834,56600
1998-06-08,22.5625,22.625,22.5,22.5625,11.288834,28200
1998-06-09,22.5625,22.75,22.5,22.75,11.382647,188700
1998-06-10,22.625,22.6875,22.5625,22.625,11.320105,64700
1998-06-11,22.375,22.4375,22.3125,22.375,11.19502,52800
1998-06-12,22.375,22.5,22.1875,22.25,11.132480000000001,375000
1998-06-15,21.25,22.25,21.0625,22.0,11.007394,96400
1998-06-16,22.0,22.3125,21.75,22.1875,11.101208,29600
1998-06-17,22.125,22.1875,21.9375,22.0,11.007394,34400
1998-06-18,22.0,22.3125,21.625,22.0,11.007394,70000
1998-06-19,22.125,22.375,22.0,22.25,11.132480000000001,88000
1998-06-22,22.3125,22.5,22.125,22.1875,11.101208,40700
1998-06-23,22.1875,22.25,21.9375,21.9375,10.976125999999999,111600
1998-06-24,21.8125,22.5,21.625,22.3125,11.16375,176400
1998-06-25,22.3125,22.75,22.25,22.25,11.132480000000001,186300
1998-06-26,21.875,22.375,21.875,22.0625,11.215086999999999,101400
1998-06-29,22.0625,22.375,22.0625,22.375,11.373937,65500
1998-06-30,22.375,22.5625,22.375,22.5,11.437482000000001,179100
1998-07-01,22.5,22.5625,22.0,22.25,11.310397,40800
1998-07-02,22.25,22.5625,22.25,22.5,11.437482000000001,75600
1998-07-06,22.5625,23.5,22.5625,22.875,11.628101,91900
1998-07-07,22.875,23.875,22.875,23.75,12.072894,170100
1998-07-08,23.625,24.375,23.5,23.9375,12.168203,174300
1998-07-09,24.0,24.625,24.0,24.375,12.390601,109600
1998-07-10,24.375,24.5,24.1875,24.375,12.390601,38900
1998-07-13,24.25,24.25,23.6875,23.8125,12.104664999999999,27300
1998-07-14,23.0,24.1875,23.0,24.0,12.199981,64800
1998-07-15,24.125,24.1875,23.875,24.0625,12.23175,27800
1998-07-16,24.0,24.1875,23.875,24.0625,12.23175,51400
1998-07-17,24.0,24.0,23.75,23.75,12.072894,51700
1998-07-20,23.25,23.6875,23.25,23.4375,11.914039,67600
1998-07-21,23.4375,23.5,23.25,23.25,11.818729,28600
1998-07-22,23.375,23.375,22.625,22.875,11.628101,65500
1998-07-23,23.0,23.0,22.625,22.9375,11.659875999999999,18800
1998-07-24,23.0,23.0,22.75,22.875,11.628101,22300
1998-07-27,22.4375,22.875,22.25,22.5,11.437482000000001,71600
1998-07-28,22.625,22.6875,22.125,22.6875,11.532789,30400
1998-07-29,22.6875,22.6875,22.125,22.125,11.246853999999999,65400
1998-07-30,22.0,22.0,21.25,21.375,10.865604,53200
1998-07-31,21.625,22.0,21.25,22.0,11.18331,142200
1998-08-03,22.125,22.125,22.0,22.0625,11.215086999999999,199600
1998-08-04,21.9375,22.0,21.125,21.375,10.865604,47200
1998-08-05,21.375,21.6875,20.9375,21.0,10.67498,19300
1998-08-06,20.875,20.9375,20.5,20.75,10.547894,51300
