Date,Open,High,Low,Close,Adj Close,Volume
1998-01-02,14.0625,14.1875,14.0,14.0625,4.1673,237900
1998-01-05,14.4375,14.5,14.3125,14.5,4.296946,282600
1998-01-06,14.5,14.5,14.375,14.375,4.259904,286800
1998-01-07,14.4375,14.75,14.375,14.75,4.3710309999999994,311400
1998-01-08,14.75,14.75,14.625,14.6875,4.35251,204900
1998-01-09,14.75,14.8125,14.625,14.6875,4.35251,212900
1998-01-12,14.625,14.6875,14.4375,14.625,4.33399,225800
1998-01-13,14.625,14.75,14.4375,14.625,4.33399,317100
1998-01-14,14.375,14.5,14.25,14.375,4.334594999999999,239900
1998-01-15,14.4375,14.4375,14.25,14.25,4.296899,286700
1998-01-16,14.25,14.25,14.125,14.1875,4.278054,232400
1998-01-20,14.25,14.3125,14.1875,14.1875,4.278054,226100
1998-01-21,14.25,14.25,14.1875,14.25,4.296899,215600
1998-01-22,14.25,14.25,14.1875,14.25,4.296899,205400
1998-01-23,14.25,14.25,14.125,14.1875,4.278054,245100
1998-01-26,14.1875,14.1875,14.0625,14.125,4.259208,199700
1998-01-27,14.125,14.1875,13.9375,14.125,4.259208,494300
1998-01-28,14.0625,14.0625,13.9375,14.0,4.221516,215500
1998-01-29,14.0,14.0,13.9375,13.9375,4.202671,236800
1998-01-30,14.0,14.0,13.875,13.875,4.1838239999999995,321100
1998-02-02,13.9375,14.0,13.875,13.9375,4.202671,363300
1998-02-03,14.0,14.0625,13.9375,14.0,4.221516,446800
1998-02-04,14.0,14.0,13.9375,13.9375,4.202671,262800
1998-02-05,14.0,14.0625,13.9375,14.0,4.221516,277900
1998-02-06,14.0625,14.0625,14.0,14.0,4.221516,252300
1998-02-09,14.125,14.125,14.0625,14.0625,4.240361,162400
1998-02-10,14.125,14.125,14.0625,14.125,4.259208,208200
1998-02-11,14.125,14.1875,14.0625,14.125,4.259208,316000
1998-02-12,14.1875,14.25,13.9375,14.25,4.296899,573600
1998-02-13,14.1875,14.25,14.0625,14.0625,4.240361,214200
1998-02-17,14.0625,14.25,14.0625,14.25,4.296899,418100
1998-02-18,14.25,14.3125,14.125,14.3125,4.315745,195900
1998-02-19,14.3125,14.3125,14.1875,14.3125,4.315745,155000
1998-02-20,14.375,14.375,14.125,14.1875,4.278054,249400
1998-02-23,14.25,14.3125,14.125,14.25,4.296899,192800
1998-02-24,14.25,14.25,14.0,14.0625,4.240361,296200
1998-02-25,14.0,14.25,14.0,14.25,4.296899,226500
1998-02-26,14.3125,14.3125,14.125,14.1875,4.278054,164000
1998-02-27,14.1875,14.1875,13.9375,14.0,4.221516,171200
1998-03-02,14.0625,14.125,13.9375,14.0,4.221516,275600
1998-03-03,14.0,14.125,13.9375,14.0625,4.240361,252500
1998-03-04,14.0,14.125,13.9375,14.0,4.221516,225000
1998-03-05,14.0,14.0625,13.9375,14.0,4.221516,255600
1998-03-06,14.0625,14.0625,13.9375,14.0,4.221516,234400
1998-03-09,14.0,14.0625,13.9375,13.9375,4.202671,139100
1998-03-10,14.0,14.0,13.875,14.0,4.221516,185500
1998-03-11,14.0,14.0,13.9375,13.9375,4.202671,390400
1998-03-12,14.0,14.0,13.8125,13.9375,4.202671,205800
1998-03-13,14.0,14.0625,13.8125,13.9375,4.202671,273900
1998-03-16,13.9375,13.9375,13.875,13.875,4.1838239999999995,201900
1998-03-17,13.875,13.9375,13.75,13.75,4.146132,329600
1998-03-18,13.8125,14.0,13.75,13.875,4.1838239999999995,347100
1998-03-19,13.9375,14.0,13.75,13.9375,4.202671,226800
1998-03-20,14.0625,14.125,13.9375,14.0,4.221516,291500
1998-03-23,14.0,14.0625,13.875,14.0625,4.240361,228900
1998-03-24,14.0625,14.1875,14.0,14.1875,4.278054,241600
1998-03-25,14.1875,14.1875,14.125,14.1875,4.278054,262900
1998-03-26,14.125,14.1875,14.0625,14.125,4.259208,250500
1998-03-27,14.125,14.375,14.0625,14.375,4.334594999999999,333100
1998-03-30,14.375,14.4375,14.125,14.4375,4.353438,201200
1998-03-31,14.4375,14.5625,14.4375,14.5,4.372285,365800
1998-04-01,14.4375,14.5,14.3125,14.3125,4.315745,151700
1998-04-02,14.3125,14.4375,14.3125,14.3125,4.315745,325600
1998-04-03,14.3125,14.5,14.25,14.5,4.372285,281000
1998-04-06,14.5,14.5,14.375,14.5,4.372285,220800
1998-04-07,14.125,14.375,14.0625,14.1875,4.356776,204300
1998-04-08,14.1875,14.1875,14.0625,14.125,4.337583,189800
1998-04-09,14.125,14.1875,14.0,14.125,4.337583,181300
1998-04-13,14.125,14.125,14.0,14.125,4.337583,253600
1998-04-14,14.0,14.125,14.0,14.0625,4.31839,136700
1998-04-15,14.125,14.125,14.0,14.0625,4.31839,149700
1998-04-16,14.0625,14.0625,13.9375,13.9375,4.280005,224200
1998-04-17,14.0,14.0,13.875,13.9375,4.280005,168000
1998-04-20,14.0,14.0,13.875,13.9375,4.280005,198900
1998-04-21,13.9375,14.0,13.875,14.0,4.299197,518200
1998-04-22,14.0,14.0,13.9375,13.9375,4.280005,171900
1998-04-23,13.9375,13.9375,13.75,13.8125,4.241619999999999,199000
1998-04-24,13.8125,13.8125,13.625,13.6875,4.203235,296500
1998-04-27,13.6875,13.6875,13.3125,13.3125,4.088076999999999,438200
1998-04-28,13.625,13.6875,13.3125,13.4375,4.126461,314200
1998-04-29,13.4375,13.6875,13.4375,13.5,4.145654,330500
1998-04-30,13.625,13.6875,13.5,13.5625,4.164848999999999,234900
1998-05-01,13.625,13.625,13.5,13.5,4.145654,287500
1998-05-04,13.625,13.625,13.5,13.625,4.184043,241800
1998-05-05,13.5625,13.625,13.5,13.625,4.184043,221600
1998-05-06,13.625,13.8125,13.5625,13.75,4.222428,323500
1998-05-07,13.8125,14.0,13.75,14.0,4.299197,310000
1998-05-08,13.9375,14.0,13.8125,13.8125,4.241619999999999,206600
1998-05-11,13.9375,13.9375,13.75,13.8125,4.241619999999999,202100
1998-05-12,13.875,13.9375,13.75,13.9375,4.280005,132300
1998-05-13,13.9375,13.9375,13.75,13.875,4.260813,182300
1998-05-14,13.875,13.9375,13.8125,13.8125,4.241619999999999,158100
1998-05-15,13.8125,13.9375,13.8125,13.8125,4.241619999999999,107700
1998-05-18,13.75,13.8125,13.625,13.625,4.184043,204700
1998-05-19,13.625,13.75,13.625,13.75,4.222428,102900
1998-05-20,13.75,13.9375,13.6875,13.8125,4.241619999999999,153000
1998-05-21,13.875,13.9375,13.75,13.8125,4.241619999999999,156000
1998-05-22,13.8125,13.875,13.6875,13.75,4.222428,138100
1998-05-26,13.8125,13.875,13.6875,13.8125,4.241619999999999,157400
1998-05-27,13.8125,14.0,13.75,14.0,4.299197,361900
1998-05-28,14.0,14.0625,13.875,14.0,4.299197,455100
1998-05-29,13.9375,14.125,13.9375,14.125,4.337583,326600
1998-06-01,14.0,14.3125,13.9375,14.25,4.375968,421800
1998-06-02,14.3125,14.3125,14.0625,14.1875,4.356776,252400
1998-06-03,14.1875,14.3125,14.0625,14.1875,4.356776,83700
1998-06-04,14.1875,14.25,13.875,13.9375,4.280005,192900
1998-06-05,13.9375,14.0,13.6875,13.875,4.260813,197900
1998-06-08,13.9375,14.0,13.75,13.75,4.222428,222900
1998-06-09,13.8125,14.0625,13.8125,14.0625,4.31839,210700
1998-06-10,14.0,14.1875,13.9375,14.0,4.299197,229800
1998-06-11,13.9375,14.0625,13.9375,13.9375,4.280005,103800
1998-06-12,13.875,14.0,13.75,13.8125,4.241619999999999,173800
1998-06-15,13.8125,13.875,13.75,13.8125,4.241619999999999,101700
1998-06-16,13.875,13.9375,13.625,13.9375,4.280005,253900
1998-06-17,13.9375,14.0,13.8125,13.9375,4.280005,313600
1998-06-18,14.0,14.0,13.8125,13.8125,4.241619999999999,248700
1998-06-19,13.8125,13.875,13.6875,13.6875,4.203235,151200
1998-06-22,13.75,14.0,13.6875,13.6875,4.203235,152900
1998-06-23,13.875,14.0,13.75,13.9375,4.280005,360900
1998-06-24,13.9375,13.9375,13.75,13.75,4.222428,110300
1998-06-25,13.75,13.875,13.6875,13.875,4.260813,182200
1998-06-26,13.8125,13.875,13.75,13.75,4.222428,138100
1998-06-29,13.75,13.75,13.6875,13.6875,4.203235,191500
1998-06-30,13.75,13.9375,13.75,13.875,4.260813,476400
1998-07-01,13.9375,13.9375,13.6875,13.6875,4.203235,511400
1998-07-02,13.75,13.8125,13.0625,13.75,4.222428,276000
1998-07-06,13.6875,14.0,13.625,13.9375,4.280005,485600
1998-07-07,13.9375,14.0625,13.875,13.9375,4.280005,453000
1998-07-08,14.0,14.0625,13.8125,13.8125,4.241619999999999,400500
1998-07-09,13.875,13.9375,13.75,13.875,4.260813,385300
1998-07-10,13.8125,14.0,13.8125,13.875,4.260813,187500
1998-07-13,13.9375,13.9375,13.8125,13.9375,4.280005,102900
1998-07-14,13.875,13.9375,13.75,13.8125,4.241619999999999,188400
1998-07-15,13.625,13.75,13.5625,13.75,4.304069,151700
1998-07-16,13.75,13.8125,13.5625,13.6875,4.284505,214900
1998-07-17,13.75,13.875,13.6875,13.8125,4.323632,2904200
1998-07-20,13.875,13.875,13.75,13.8125,4.323632,193300
1998-07-21,13.75,13.8125,13.6875,13.6875,4.284505,128000
1998-07-22,13.8125,13.8125,13.625,13.625,4.26494,137700
1998-07-23,13.625,13.6875,13.25,13.25,4.147556,196700
1998-07-24,13.375,13.5,13.0,13.125,4.108428,298600
1998-07-27,13.0,13.25,12.9375,12.9375,4.049737,224800
1998-07-28,13.0,13.0,12.75,12.75,3.9910449999999997,338500
1998-07-29,12.8125,12.9375,12.75,12.75,3.9910449999999997,301600
1998-07-30,12.8125,12.9375,12.6875,12.75,3.9910449999999997,361900
1998-07-31,12.8125,12.8125,12.5625,12.5625,3.932354,182500
1998-08-03,12.6875,12.8125,12.3125,12.375,3.8736610000000002,276200
1998-08-04,12.5,12.5,11.75,12.0,3.756278,339200
1998-08-05,12.0625,12.375,11.875,11.9375,3.736713,514200
