Date,Open,High,Low,Close,Adj Close,Volume
1998-01-02,54.75,55.0,53.375,53.9375,33.393764000000004,122400
1998-01-05,54.375,54.75,54.0,54.75,33.89679,177200
1998-01-06,54.875,55.3125,54.8125,55.25,34.206364,118200
1998-01-07,54.75,54.75,53.125,53.8125,33.316387,188300
1998-01-08,54.0625,54.375,53.6875,54.125,33.509846,164300
1998-01-09,53.875,53.9375,52.125,52.1875,32.310322,160800
1998-01-12,51.8125,52.0,50.375,50.5,31.265546999999998,243900
1998-01-13,51.125,53.9375,51.125,53.875,33.355061,780500
1998-01-14,53.875,55.0,53.625,54.9375,34.012882,705600
1998-01-15,54.9375,55.125,54.125,54.5,33.742027,301100
1998-01-16,54.5,54.6875,54.1875,54.1875,33.548542,527200
1998-01-20,54.0625,56.4375,53.875,56.1875,34.786777,301500
1998-01-21,56.6875,57.5,55.1875,55.9375,34.632,356600
1998-01-22,55.75,55.9375,54.5625,54.5625,33.780716,391600
1998-01-23,54.5625,55.375,53.6875,54.25,33.587246,254500
1998-01-26,54.25,55.25,54.25,54.75,33.89679,284500
1998-01-27,54.375,56.25,54.375,55.5625,34.399840999999995,192900
1998-01-28,55.75,57.625,55.6875,57.0,35.289825,295800
1998-01-29,57.5,58.4375,57.3125,57.8125,35.792843,327700
1998-01-30,57.75,58.0,56.75,57.8125,35.792843,148500
1998-02-02,58.0625,58.4375,57.6875,58.1875,36.025024,221700
1998-02-03,59.0,60.5,58.5,60.25,37.30196,322000
1998-02-04,61.5,61.5,59.4375,59.875,37.069790000000005,489100
1998-02-05,59.875,61.0,59.8125,60.4375,37.418048999999996,426100
1998-02-06,61.25,62.0,60.875,62.0,38.385426,711300
1998-02-09,61.875,62.0,61.0625,62.0,38.385426,845100
1998-02-10,61.875,62.875,61.6875,62.625,38.772362,356200
1998-02-11,63.0,63.4375,62.75,63.1875,39.120628,403600
1998-02-12,63.5,63.5,62.625,63.5,39.314114000000004,534100
1998-02-13,63.5,63.5,63.0,63.0625,39.043236,202200
1998-02-17,63.3125,64.1875,63.25,63.3125,39.198006,383900
1998-02-18,63.25,63.4375,63.0625,63.4375,39.27541,310900
1998-02-19,63.5,63.8125,63.25,63.25,39.159317,530800
1998-02-20,63.375,64.0,63.25,64.0,39.623657,279100
1998-02-23,64.0,65.75,64.0,65.125,40.320175,501600
1998-02-24,65.125,65.125,64.5,64.6875,40.049316,247800
1998-02-25,64.6875,65.875,64.625,65.875,40.784504,223800
1998-02-26,65.375,65.8125,65.125,65.4375,40.723843,198700
1998-02-27,65.1875,67.0625,65.1875,66.8125,41.579533000000005,410700
1998-03-02,66.875,66.875,65.0,65.875,40.996117,388400
1998-03-03,65.625,65.6875,65.0,65.4375,40.723843,327400
1998-03-04,65.9375,67.0,65.875,66.9375,41.65733,351000
1998-03-05,67.1875,67.1875,66.3125,66.6875,41.501740000000005,362200
1998-03-06,67.4375,68.0,67.125,67.625,42.085171,440400
1998-03-09,67.25,68.0,66.75,67.25,41.851818,277600
1998-03-10,67.0,68.0,67.0,68.0,42.318558,124300
1998-03-11,68.5,68.5,67.5,68.0,42.318558,189000
1998-03-12,67.75,67.9375,67.25,67.875,42.240746,104000
1998-03-13,68.0,68.875,67.8125,68.3125,42.513023,172100
1998-03-16,68.375,68.8125,68.25,68.5625,42.668621,301400
1998-03-17,69.5,69.9375,68.9375,69.375,43.174267,450400
1998-03-18,69.375,69.5,68.25,68.25,42.474121000000004,246200
1998-03-19,67.5,68.5,67.125,67.25,41.851818,541400
1998-03-20,68.0,69.5,67.5,67.5,42.007397,401800
1998-03-23,67.5625,69.5,67.5625,68.1875,42.435249,343400
1998-03-24,68.4375,68.875,67.375,68.5,42.629723,161200
1998-03-25,68.75,70.0,68.75,68.8125,42.824203000000004,382200
1998-03-26,68.625,69.3125,67.75,68.3125,42.513023,170200
1998-03-27,68.375,68.875,67.25,68.4375,42.590828,170000
1998-03-30,68.5,68.5,67.5625,68.0,42.318558,76900
1998-03-31,68.0,69.0,68.0,68.6875,42.746390999999996,222600
1998-04-01,68.6875,68.9375,68.0,68.4375,42.590828,146000
1998-04-02,68.375,68.4375,66.8125,67.9375,42.279663,207600
1998-04-03,68.1875,68.25,66.0,66.125,41.151691,354700
1998-04-06,66.375,67.25,66.1875,67.0625,41.735126,244100
1998-04-07,66.25,66.875,66.25,66.5625,41.423953999999995,126500
1998-04-08,66.5625,69.875,66.5625,68.875,42.863083,267700
1998-04-09,69.0,69.0,67.875,69.0,42.940891,388300
1998-04-13,68.9375,73.75,67.125,73.625,45.819157000000004,995600
1998-04-14,73.625,74.5,72.125,74.5,46.363701,736000
1998-04-15,74.125,74.9375,73.625,74.3125,46.247021000000004,464200
1998-04-16,73.5,74.8125,73.375,73.9375,46.013657,266000
1998-04-17,73.9375,74.75,73.875,74.75,46.519287,362000
1998-04-20,75.0,75.25,72.8125,73.4375,45.702461,707400
1998-04-21,73.1875,73.625,72.0,72.0,44.807869000000004,425100
1998-04-22,72.0,72.8125,71.375,71.75,44.652279,269000
1998-04-23,71.75,72.5625,71.5,71.5,44.496719,319600
1998-04-24,71.625,72.0,70.8125,70.875,44.107746,307500
1998-04-27,70.0,70.25,68.75,69.75,43.407639,231400
1998-04-28,70.125,70.1875,69.625,70.125,43.641006,172200
1998-04-29,70.125,71.4375,69.875,71.4375,44.457817,301400
1998-04-30,71.4375,73.875,71.375,72.0,44.807869000000004,269500
1998-05-01,72.25,72.5,70.625,71.625,44.574512,135100
1998-05-04,71.625,72.625,70.125,71.625,44.574512,137500
1998-05-05,71.5,72.75,71.25,71.8125,44.691208,158800
1998-05-06,72.5,72.5,69.6875,70.0625,43.602092999999996,139100
1998-05-07,70.25,70.25,68.5625,68.5625,42.668621,162200
1998-05-08,68.75,69.0,67.875,68.4375,42.590828,174100
1998-05-11,68.4375,68.4375,67.1875,67.6875,42.124069,350300
1998-05-12,67.875,68.1875,67.75,68.0,42.318558,208100
1998-05-13,68.0,68.5,67.0,67.5,42.007397,277000
1998-05-14,67.25,68.0,67.125,67.4375,41.968494,240600
1998-05-15,67.875,68.0,66.0,66.8125,41.579533000000005,241700
1998-05-18,67.0,68.75,66.9375,68.75,42.785301000000004,684000
