Date,Open,High,Low,Close,Adj Close,Volume
1998-01-02,30.53125,31.03125,30.46875,30.9375,18.781534,5657200
1998-01-05,31.0,31.09375,30.15625,30.59375,18.572853,8728400
1998-01-06,30.0625,30.28125,29.3125,29.5,17.908857,9009200
1998-01-07,29.53125,30.46875,29.4375,30.4375,18.478004000000002,11663600
1998-01-08,30.3125,30.5,29.75,29.78125,18.079598999999998,6357600
1998-01-09,29.78125,29.84375,28.78125,29.0625,17.64327,8060600
1998-01-12,28.375,29.5,28.3125,29.375,17.832973000000003,8362400
1998-01-13,29.75,30.0625,29.5,30.03125,18.231375,8917000
1998-01-14,30.09375,30.5,29.875,30.40625,18.459024,6375000
1998-01-15,30.28125,30.71875,29.625,29.75,18.060631,8606600
1998-01-16,30.15625,30.78125,30.0,30.40625,18.459024,8445600
1998-01-20,30.34375,30.625,30.15625,30.4375,18.478004000000002,6348000
1998-01-21,30.75,30.96875,30.25,30.53125,18.53491,6651400
1998-01-22,30.125,30.125,29.5,29.78125,18.079598999999998,5690600
1998-01-23,29.78125,29.96875,29.09375,29.53125,17.92783,5782000
1998-01-26,29.53125,30.21875,29.53125,30.125,18.288282000000002,5868400
1998-01-27,30.1875,30.5,30.09375,30.1875,18.326223000000002,5633600
1998-01-28,30.09375,30.25,29.5,29.59375,17.965767,8286600
1998-01-29,29.875,30.4375,29.65625,30.375,18.440056,7859400
1998-01-30,30.28125,30.3125,29.5625,29.65625,18.003716,7292800
1998-02-02,30.375,30.40625,30.09375,30.25,18.364168,8728600
1998-02-03,30.125,30.625,30.09375,30.40625,18.459024,6245200
1998-02-04,30.28125,31.0,30.28125,30.78125,18.686678,5810200
1998-02-05,31.0,31.21875,30.6875,30.96875,18.800504999999998,6964400
1998-02-06,30.75,31.125,30.75,31.0,18.944889,4877600
1998-02-09,31.0,31.09375,30.625,31.0,18.944889,4775000
1998-02-10,31.0,31.09375,30.78125,31.03125,18.963978,5364000
1998-02-11,31.0625,31.46875,30.9375,31.34375,19.154957,6246200
1998-02-12,31.3125,31.71875,30.9375,31.53125,19.269539,5621400
1998-02-13,31.4375,31.6875,31.3125,31.5625,19.288647,4587400
1998-02-17,31.625,31.625,30.96875,31.0625,18.983089,6091400
1998-02-18,31.15625,32.03125,31.125,31.90625,19.498716,8268600
1998-02-19,31.9375,32.0,31.65625,31.8125,19.441423,6107600
1998-02-20,31.78125,32.21875,31.59375,32.15625,19.651493,7663400
1998-02-23,31.71875,31.71875,30.875,31.25,19.097666,7695600
1998-02-24,31.34375,31.59375,31.125,31.375,19.174061,6510400
1998-02-25,31.46875,31.5625,31.125,31.40625,19.193163000000002,3976400
1998-02-26,31.40625,31.75,31.3125,31.53125,19.269539,4159400
1998-02-27,31.46875,32.03125,31.40625,31.875,19.479618,5570000
1998-03-02,31.9375,32.0625,31.53125,31.75,19.403229,4876200
1998-03-03,31.75,32.15625,31.6875,32.125,19.632406,6857600
1998-03-04,32.125,32.21875,31.625,31.71875,19.384135999999998,7044800
1998-03-05,31.4375,31.71875,31.28125,31.46875,19.23135,6907800
1998-03-06,31.46875,31.46875,31.09375,31.375,19.174061,6855600
1998-03-09,31.46875,31.46875,31.09375,31.25,19.097666,6186400
1998-03-10,31.4375,31.78125,31.375,31.71875,19.384135999999998,5666800
1998-03-11,32.0,32.09375,31.6875,31.96875,19.536922,5641200
1998-03-12,31.84375,32.0,31.59375,31.9375,19.517811,4787800
1998-03-13,31.96875,32.1875,31.875,32.15625,19.651493,4476400
1998-03-16,32.15625,32.21875,31.96875,32.09375,19.613304,4079200
1998-03-17,32.0,32.0,31.0625,31.46875,19.23135,8225600
1998-03-18,31.59375,32.34375,31.46875,32.3125,19.74699,7676600
1998-03-19,32.34375,32.5,32.1875,32.40625,19.804279,6607600
1998-03-20,32.5,33.875,32.40625,33.5625,20.510891,13996800
1998-03-23,34.96875,35.0,33.875,34.0,20.778265,11944800
1998-03-24,34.3125,34.375,33.96875,34.1875,20.892851,6834400
1998-03-25,34.34375,34.59375,33.71875,33.875,20.70187,5816800
1998-03-26,33.84375,34.5,33.78125,34.09375,20.835554000000002,5872800
1998-03-27,34.21875,34.28125,33.46875,33.8125,20.663673,4927000
1998-03-30,33.875,34.15625,33.34375,33.96875,20.759169,4611400
1998-03-31,34.25,34.25,33.59375,33.8125,20.663673,5460200
1998-04-01,33.875,34.5,33.6875,34.46875,21.064729999999997,6543000
1998-04-02,34.34375,34.96875,34.34375,34.9375,21.351191,5598000
1998-04-03,34.9375,34.96875,34.375,34.59375,21.141109,4499400
1998-04-06,34.65625,34.875,34.21875,34.21875,20.911945000000003,4957800
1998-04-07,34.21875,34.40625,33.5625,33.875,20.70187,4785800
1998-04-08,33.90625,33.96875,32.6875,33.0625,20.205332000000002,6489400
1998-04-09,33.0625,33.53125,33.0625,33.375,20.396307,3923800
1998-04-13,33.53125,33.96875,33.25,33.84375,20.682781,7069000
1998-04-14,33.71875,33.8125,33.3125,33.59375,20.529993,4570600
1998-04-15,33.9375,34.46875,33.625,34.34375,20.988336999999998,6696600
1998-04-16,34.4375,35.5,34.25,35.15625,21.484882,13343800
1998-04-17,35.46875,36.1875,35.21875,36.03125,22.019604,8564200
1998-04-20,36.5,36.625,36.03125,36.46875,22.286976,9191200
1998-04-21,36.625,36.71875,36.1875,36.65625,22.40156,6586800
1998-04-22,36.78125,36.84375,36.34375,36.46875,22.286976,6757400
1998-04-23,36.34375,37.0,36.34375,36.875,22.535242,6900400
1998-04-24,36.96875,37.34375,36.75,36.75,22.458855,6812800
1998-04-27,36.53125,37.3125,36.53125,37.15625,22.70713,8799600
1998-04-28,37.25,37.25,36.4375,36.6875,22.420654000000003,8246800
1998-04-29,36.6875,36.8125,36.46875,36.46875,22.286976,6034400
1998-04-30,36.5,36.71875,36.15625,36.53125,22.325174,5509000
1998-05-01,37.0,37.9375,36.90625,37.8125,23.108189000000003,6990000
1998-05-04,38.0,38.0,37.21875,37.375,22.840816,5818400
1998-05-05,37.0625,37.5,36.75,37.0,22.611639,4732400
1998-05-06,37.03125,37.5625,37.03125,37.21875,22.745325,6039600
1998-05-07,37.09375,37.125,36.5,36.625,22.382467000000002,4493400
1998-05-08,36.59375,37.21875,36.15625,36.59375,22.363369,5905600
1998-05-11,36.25,36.65625,36.09375,36.46875,22.412533,5657600
1998-05-12,36.5,37.0,36.46875,36.90625,22.681406,6134000
1998-05-13,36.8125,37.25,36.6875,36.8125,22.623789000000002,7167400
1998-05-14,36.78125,36.9375,36.46875,36.8125,22.623789000000002,6716800
1998-05-15,36.875,37.375,36.84375,36.84375,22.642994,7685600
1998-05-18,36.84375,36.96875,36.1875,36.28125,22.297298,5775200
1998-05-19,36.3125,36.46875,35.8125,36.15625,22.220476,5134800
1998-05-20,36.0625,36.28125,35.375,35.625,21.893998999999997,5500600
1998-05-21,35.53125,35.78125,34.90625,35.1875,21.625114,6806000
1998-05-22,35.40625,35.40625,35.09375,35.28125,21.682726000000002,3497400
1998-05-26,35.40625,35.40625,34.78125,34.78125,21.375444,4287400
1998-05-27,34.8125,35.375,34.5,35.1875,21.625114,6390400
1998-05-28,35.25,35.5625,35.0,35.46875,21.797966,5085000
1998-05-29,35.46875,35.625,34.96875,35.25,21.663528,7007600
1998-06-01,35.25,35.34375,34.9375,35.3125,21.701933,4731600
1998-06-02,35.5,35.53125,34.78125,34.96875,21.490679,5323400
1998-06-03,34.6875,35.15625,34.5,34.5,21.202604,4464200
1998-06-04,34.53125,35.25,34.53125,35.15625,21.605913,7548400
1998-06-05,35.28125,35.9375,35.15625,35.90625,22.066841,7094800
1998-06-08,35.90625,35.90625,35.46875,35.59375,21.874792000000003,4719800
1998-06-09,35.375,35.46875,34.78125,34.96875,21.490679,5419000
1998-06-10,34.84375,35.25,34.3125,34.40625,21.144983,6212000
1998-06-11,34.875,34.875,33.6875,34.03125,20.914524,8526400
1998-06-12,34.09375,34.78125,33.875,34.65625,21.298634,6003600
1998-06-15,34.5,34.5625,34.0625,34.25,21.048958,5845200
1998-06-16,34.25,34.96875,33.9375,34.78125,21.375444,6156400
1998-06-17,35.1875,35.75,34.96875,35.5,21.817169,7932600
1998-06-18,35.375,35.46875,34.9375,35.375,21.740356,4856000
1998-06-19,35.5,35.71875,35.03125,35.03125,21.529081,8165000
1998-06-22,35.03125,35.78125,35.03125,35.3125,21.701933,5644200
1998-06-23,35.5625,35.9375,35.53125,35.90625,22.066841,7104600
1998-06-24,36.0,36.21875,35.78125,36.21875,22.258896,8119400
1998-06-25,36.21875,36.53125,36.0,36.25,22.278097,6378000
1998-06-26,36.375,36.5,35.8125,36.125,22.201271,4093800
1998-06-29,36.09375,36.15625,35.75,35.75,21.970812,4505200
1998-06-30,36.125,36.5,35.625,35.6875,21.932398000000003,7696600
1998-07-01,36.03125,36.46875,35.78125,36.46875,22.412533,5924800
1998-07-02,36.15625,36.90625,36.125,36.4375,22.39333,5185400
1998-07-06,36.34375,36.71875,36.3125,36.65625,22.527760999999998,3681000
1998-07-07,36.53125,36.6875,36.34375,36.375,22.354917999999998,4602000
1998-07-08,36.375,36.71875,36.375,36.59375,22.489353,3933000
1998-07-09,36.21875,36.40625,35.40625,35.875,22.047628,4539000
1998-07-10,35.75,36.1875,35.5625,35.84375,22.028433,3501600
1998-07-13,35.75,35.78125,35.03125,35.25,21.663528,5097000
1998-07-14,35.125,36.125,35.125,36.03125,22.143663,5308200
1998-07-15,35.90625,36.125,35.65625,35.8125,22.009224,4996400
1998-07-16,35.75,35.78125,35.0625,35.6875,21.932398000000003,3553800
1998-07-17,35.78125,36.21875,35.5,36.1875,22.239691,5255400
1998-07-20,36.125,36.1875,35.03125,35.28125,21.682726000000002,4437200
1998-07-21,35.28125,35.71875,35.0,35.09375,21.567501,5052600
1998-07-22,35.21875,36.0,35.0,35.90625,22.066841,6580800
1998-07-23,35.75,35.9375,34.9375,35.0625,21.548296,5232200
1998-07-24,34.90625,35.40625,34.8125,35.1875,21.625114,4443200
1998-07-27,35.0,35.75,34.90625,35.71875,21.951611,5454600
1998-07-28,35.375,35.53125,34.09375,34.8125,21.394645999999998,7048000
1998-07-29,34.84375,35.375,34.65625,35.34375,21.721144,6626000
